profile_id,source_file,source_session_date,profile_family,contract_symbol,contract_selection_start,contract_selection_end,contract_selection_volume,source_start,source_end,freeze_time,source_bar_count,first_source_row_id,last_source_row_id,atr_reference_time,atr_value,raw_bin_size,rounded_bin_size,allocation_method,bin_ratio,prominence_threshold,source_total_volume,allocated_total_volume,conservation_difference,tpo_expected_total,tpo_actual_total,number_of_profile_bins,poc_bin,poc_price,number_of_peak_candidates,number_of_qualifying_candidates,number_of_final_hvns,hvn_boundaries,node_total_weights,node_weight_shares,independent_all_bins_exact,independent_checked_bin_indices,post_freeze_mutation_hash_before,post_freeze_mutation_hash_after,result
e5cf78aff9faf953119d,nq2025.zip,2025-01-06,prior_rth,NQH5,2025-01-03T09:30:00-05:00,2025-01-06T09:30:00-05:00,523452,2025-01-06T09:30:00-05:00,2025-01-06T16:00:00-05:00,2025-01-06T16:00:00-05:00,390,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:4765,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:5386,2025-01-06T09:30:00-05:00,15.74731765056887092144079624,0.7873658825284435460720398120,0.75,uniform_bar_volume,0.05,1.5,415708,415708,0,,,333,29153,21865.125,62,0,0,,,,true,28863|29029|29153|29195,883dc78639e3393d8669480406c7266904f6d0440c07b151886929cf5de38634,883dc78639e3393d8669480406c7266904f6d0440c07b151886929cf5de38634,PASS
4c1fa3d5fd7282c1fe1c,nq2025.zip,2025-01-06,prior_rth,NQH5,2025-01-03T09:30:00-05:00,2025-01-06T09:30:00-05:00,523452,2025-01-06T09:30:00-05:00,2025-01-06T16:00:00-05:00,2025-01-06T16:00:00-05:00,390,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:4765,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:5386,2025-01-06T09:30:00-05:00,15.74731765056887092144079624,3.149463530113774184288159248,3.25,tpo_range_occupancy,0.20,2.5,415708,0,0,2056,2056,78,6727,21864.375,9,0,0,,,,true,6660|6699|6727|6737,a9cb0952b51bfa00139ba49e035aaffa6166f31768277a48d8f39e4be8de3a12,a9cb0952b51bfa00139ba49e035aaffa6166f31768277a48d8f39e4be8de3a12,PASS
e8611231b90882d6dcd6,nq2025.zip,2025-01-07,prior_rth,NQH5,2025-01-04T09:30:00-05:00,2025-01-07T09:30:00-05:00,654265,2025-01-07T09:30:00-05:00,2025-01-07T16:00:00-05:00,2025-01-07T16:00:00-05:00,390,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:6500,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:7197,2025-01-07T09:30:00-05:00,6.748638733302968878049085896,0.6748638733302968878049085896,0.75,uniform_bar_volume,0.10,2.0,525167,525167,0,,,703,28588,21441.375,105,0,0,,,,true,28372|28588|28723|29074,799480e5e354763dddc5cd1f014875f55df27fb319914236431a959ba4c37918,799480e5e354763dddc5cd1f014875f55df27fb319914236431a959ba4c37918,PASS
f58fb2e9ebd8af598c74,nq2025.zip,2025-01-07,prior_rth,NQH5,2025-01-04T09:30:00-05:00,2025-01-07T09:30:00-05:00,654265,2025-01-07T09:30:00-05:00,2025-01-07T16:00:00-05:00,2025-01-07T16:00:00-05:00,390,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:6500,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:7197,2025-01-07T09:30:00-05:00,6.748638733302968878049085896,0.6748638733302968878049085896,0.75,tpo_range_occupancy,0.10,2.0,525167,0,0,9710,9710,703,28588,21441.375,67,0,0,,,,true,28372|28588|28723|29074,11c23b358621c3d3b38754b8881a1303a27f29ac9fe93e6bb27b3695d905cf00,11c23b358621c3d3b38754b8881a1303a27f29ac9fe93e6bb27b3695d905cf00,PASS
f39f79862c552ce2d813,nq2025.zip,2025-01-06,full_overnight,NQH5,2025-01-02T18:00:00-05:00,2025-01-05T18:00:00-05:00,479425,2025-01-05T18:00:00-05:00,2025-01-06T09:30:00-05:00,2025-01-06T09:30:00-05:00,930,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:3691,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:4763,2025-01-03T17:00:00-05:00,4.725946125126660393034282596,0.2362973062563330196517141298,0.25,uniform_bar_volume,0.05,2.0,128567,128567,0,,,1129,86936,21734.125,194,0,0,,,,true,85913|86477|86936|87041,c0d611d703643801d1209cd65cd1d2cf8aacb9bae667347bb7e3dea0752cd5d1,c0d611d703643801d1209cd65cd1d2cf8aacb9bae667347bb7e3dea0752cd5d1,PASS
2bfada665e3443175ce5,nq2025.zip,2025-01-06,full_overnight,NQH5,2025-01-02T18:00:00-05:00,2025-01-05T18:00:00-05:00,479425,2025-01-05T18:00:00-05:00,2025-01-06T09:30:00-05:00,2025-01-06T09:30:00-05:00,930,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:3691,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:4763,2025-01-03T17:00:00-05:00,4.725946125126660393034282596,0.9451892250253320786068565192,1.00,tpo_range_occupancy,0.20,2.0,128567,0,0,5627,5627,283,21510,21510.500,40,1,1,21478.00:21761.00,5627,1,true,21478|21510|21619|21760,667fcc213c8095feddcc116d1391ec1a7dce9674520cc409f1900d28720b51e6,667fcc213c8095feddcc116d1391ec1a7dce9674520cc409f1900d28720b51e6,PASS
9daafd8371352694e88f,nq2025.zip,2025-01-07,full_overnight,NQH5,2025-01-03T18:00:00-05:00,2025-01-06T18:00:00-05:00,562263,2025-01-06T18:00:00-05:00,2025-01-07T09:30:00-05:00,2025-01-07T09:30:00-05:00,930,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:5463,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:6499,2025-01-06T17:00:00-05:00,4.874241809230565580486726392,0.4874241809230565580486726392,0.50,uniform_bar_volume,0.10,2.0,92002,92002,0,,,273,43509,21754.750,49,0,0,,,,true,43322|43458|43509|43594,d00e3dc081f9e42b42a02fa76dce866552a1955faeb9d3789e4a1beb1fe54f22,d00e3dc081f9e42b42a02fa76dce866552a1955faeb9d3789e4a1beb1fe54f22,PASS
daca9a202b0de9710b7d,nq2025.zip,2025-01-07,full_overnight,NQH5,2025-01-03T18:00:00-05:00,2025-01-06T18:00:00-05:00,562263,2025-01-06T18:00:00-05:00,2025-01-07T09:30:00-05:00,2025-01-07T09:30:00-05:00,930,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:5463,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:6499,2025-01-06T17:00:00-05:00,4.874241809230565580486726392,0.4874241809230565580486726392,0.50,tpo_range_occupancy,0.10,2.0,92002,0,0,9704,9704,273,43510,21755.250,37,0,0,,,,true,43322|43458|43510|43594,cb99ef0c31bf547e2a8d35514c0cc3775566fcf0d1ae40bae49e07bce658b2d9,cb99ef0c31bf547e2a8d35514c0cc3775566fcf0d1ae40bae49e07bce658b2d9,PASS
bc24d839c246b4af41b3,nq2025.zip,2025-01-06,midnight,NQH5,2025-01-03T00:00:00-05:00,2025-01-06T00:00:00-05:00,476794,2025-01-06T00:00:00-05:00,2025-01-06T09:30:00-05:00,2025-01-06T09:30:00-05:00,570,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:4084,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:4763,2025-01-06T00:00:00-05:00,2.054246432112518659626822928,0.2054246432112518659626822928,0.25,uniform_bar_volume,0.10,2.0,107084,107084,0,,,960,86936,21734.125,157,0,0,,,,true,86082|86562|86936|87041,e5f4a2a8becadd3f28c4938558c3fc7f89de4661609f74093271e1600451c08c,e5f4a2a8becadd3f28c4938558c3fc7f89de4661609f74093271e1600451c08c,PASS
4f271b791d5514216cd9,nq2025.zip,2025-01-06,midnight,NQH5,2025-01-03T00:00:00-05:00,2025-01-06T00:00:00-05:00,476794,2025-01-06T00:00:00-05:00,2025-01-06T09:30:00-05:00,2025-01-06T09:30:00-05:00,570,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:4084,nq2025.zip:glbx-mdp3-20250101-20260607.ohlcv-1m.csv.zst:4763,2025-01-06T00:00:00-05:00,2.054246432112518659626822928,0.2054246432112518659626822928,0.25,tpo_range_occupancy,0.10,2.0,107084,0,0,13863,13863,960,86932,21733.125,94,3,1,21520.50:21760.50,13863,1,true,86082|86562|86932|87041,74f79e423b18290d7f9796e4108aec42e2c2d593f60467a6353c3b7d284fb9e3,74f79e423b18290d7f9796e4108aec42e2c2d593f60467a6353c3b7d284fb9e3,PASS
