filename,bytes,sha256
control_events_2019.csv.gz,28512153,9724c67ca0afb5db6b1c5faac59bcd5ab910cf52f505cb0e3d72311f89b4e0f9
control_opportunities_2019.csv.gz,7860168,129f2dd950e71973175b6e0afbbd9fdaaca72bf7eeb35f8f4247ee8c0c6239fc
episode_events_2019.csv.gz,21395,71ade5c824a15449507e79b8bbaae08bc2fc8321d6c6bebf07a75bd0be37a9d3
events_2019.csv.gz,521810,2ea25a71984f2cc2aab7356c365dba7ad98596e4f26100faa724b629e6be4906
forward_metrics_2019.csv.gz,88894586,48bc94e7a1aafb8d69b2276b31996ad5f6dd29a850af036a74dda31b7ffb2a26
match_events_2019.csv.gz,11130371,0d8ae204c0fad8512a74ce6c2871d7208346574c01cc212479f7fd3a2be8dd65
opportunities_2019.csv.gz,291504,76106c304cafab0bba72f43c55bf2028b9b262e9a561249fd5b2b35568c7cd6b
profiles_2019.csv.gz,108454,94b846711371bd67e580227ea2d162f70e2901b262f300ce8a2ab1ab03f39b42
control_events_2021.csv.gz,46614486,d5ed3a418f73c7859e031e453d50a7f7c65dc53884c5f8b431680304b17682c9
control_opportunities_2021.csv.gz,14055223,8f0eb771e82ea01903c0de0d5c3bfe598a34439f886667d7aec41906e88205c5
episode_events_2021.csv.gz,25705,9e20a22ea4dc51f5dd7e10664f39aa4ba9fec6d933dde0eaa5528094efded5a0
events_2021.csv.gz,623365,4e09f933c10259c09cb340fac54268288d7556aea9c5183f709adf919c930972
forward_metrics_2021.csv.gz,143725069,9d4fa3a157001997df905f0dd111e951e6b8d0062f2a4e4489ad37b51e56b9cd
match_events_2021.csv.gz,18763668,c628d10b0435705695546e501e7108f49bb43a6e712ab966056d73636d22a037
opportunities_2021.csv.gz,424133,0a8d0e9d019402128e7201232d633e0342815562eb0ca5d617e41e88d24575d9
profiles_2021.csv.gz,116192,bf309d3719493767c01b23f19ce6175fd34113b3374a607adbe3de111db02904
control_events_2023.csv.gz,47519498,1a18e21248a8ded0f7b718664864b462fa7ac04bc6bea4927db2652d66d31920
control_opportunities_2023.csv.gz,12929994,3fe0a42ac92c54dcf9aeffe3f526c666b531fd1391be3406f86e9b17274f722d
episode_events_2023.csv.gz,22421,26d15ffc8415e5de0f6751d0ad1b677a4fff57f3ce2bb4fc749fa503abb2f878
events_2023.csv.gz,592007,bbf847769fc5d2831146714e1650e2434289f0535250064516eb71cfb2eb54e4
forward_metrics_2023.csv.gz,144409693,0cf778e6873d53b8160b46e352f3a0f0be5db56ef41d6f24c57dd9f8d38514de
match_events_2023.csv.gz,19437057,a9c1d74c67f9cdd9839aaa7ba8a40aa34d66e7c3d49422cdcb8704b9fa2b8cbd
opportunities_2023.csv.gz,394975,220c2b54a3c0e23981f021dca873bb003b6bf74b86b8446b7acd0578bebc0edf
profiles_2023.csv.gz,114589,79aaec1ffa11c91d22651a8125906927b31afab3339454e8864f4a85871a2f78
control_events_2026.csv.gz,23068988,d6a80b0ae20b2f359a182de74a55df790ea8f8d3e501da4b24ec82816b0f42e0
control_opportunities_2026.csv.gz,7443653,fc01a2646f9c6757ce51d4faae93bf4e73e76e8cda6352613a8f8a3a2102c5e0
episode_events_2026.csv.gz,9565,66175ff910fbe73675332dd04f66f56a7fd192b9e39dedb35caa2f341c9d5b9b
events_2026.csv.gz,252210,e2c8ef1d340d75df5b9f9c91d05fa3497989ceff762d7edf453a51a2847aca27
forward_metrics_2026.csv.gz,72543975,82c0d4c9cb4e170644dced760b7fee4d64a4f539b172707ccceddcba00aba1e6
match_events_2026.csv.gz,8865917,797f7fed775d93a345a734e9d0c063bda435efa5c32e8858d850c89f698c3055
opportunities_2026.csv.gz,204495,f395b83498fb0e4b5034aa69a75d1c7d5c514fdd18be3332ba86477c00362b22
profiles_2026.csv.gz,49367,750164775e517e5d6e8ab61fb8f9bc4b64663ade4f72c94db386e542035b27d0
