relationship_id,control_family,allocation_method,bin_ratio,prominence_threshold,year,count,mean,median,standard_deviation,iqr,expected_sign_share,ci_low,ci_high
R01,C01,tpo_range_occupancy,0.2,1.5,2021,1,0.1333333333333333333333333334,0.1333333333333333333333333334,,0,1,0.1333333333333333333333333334,0.1333333333333333333333333334
R02,C01,uniform_bar_volume,0.05,1.5,2025,1,-0.1333333333333333333333333333,-0.1333333333333333333333333333,,0,0,-0.1333333333333333333333333333,-0.1333333333333333333333333333
R02,C01,uniform_bar_volume,0.05,2,2025,1,-0.0666666666666666666666666667,-0.0666666666666666666666666667,,0,0,-0.0666666666666666666666666667,-0.0666666666666666666666666667
R02,C01,uniform_bar_volume,0.1,1.5,2021,1,0.1666666666666666666666666667,0.1666666666666666666666666667,,0,1,0.1666666666666666666666666667,0.1666666666666666666666666667
R02,C02,uniform_bar_volume,0.05,2,2025,1,0,0,,0,0,0,0
R03,C01,tpo_range_occupancy,0.05,1.5,2021,1,-0.03333333333333333333333333333,-0.03333333333333333333333333333,,0,0,-0.03333333333333333333333333333,-0.03333333333333333333333333333
R03,C01,tpo_range_occupancy,0.05,1.5,2025,1,0,0,,0,0,0,0
R03,C01,tpo_range_occupancy,0.05,1.5,2026,1,0.2666666666666666666666666667,0.2666666666666666666666666667,,0,1,0.2666666666666666666666666667,0.2666666666666666666666666667
R03,C01,tpo_range_occupancy,0.1,1.5,2025,1,0,0,,0,0,0,0
R03,C01,tpo_range_occupancy,0.2,1.5,2023,2,-0.1166666666666666666666666667,-0.1166666666666666666666666667,0.2121320343559642573202533086,0.15,0.5,-0.2666666666666666666666666667,0.03333333333333333333333333333
R03,C01,uniform_bar_volume,0.05,1.5,2023,1,-0.1,-0.1,,0,0,-0.1,-0.1
R03,C01,uniform_bar_volume,0.05,1.5,2025,2,-0.03333333333333333333333333334,-0.03333333333333333333333333334,0.00000000000000000000000000001,0.00000000000000000000000000001,0,-0.03333333333333333333333333334,-0.03333333333333333333333333333
R03,C01,uniform_bar_volume,0.1,1.5,2023,1,-0.1,-0.1,,0,0,-0.1,-0.1
R03,C01,uniform_bar_volume,0.1,1.5,2025,1,0.1,0.1,,0,1,0.1,0.1
R03,C02,uniform_bar_volume,0.05,1.5,2025,1,-0.03333333333333333333333333333,-0.03333333333333333333333333333,,0,0,-0.03333333333333333333333333333,-0.03333333333333333333333333333
R03,C02,uniform_bar_volume,0.2,1.5,2021,1,0,0,,0,0,0,0
R04,C01,tpo_range_occupancy,0.05,1.5,2025,1,-0.2,-0.2,,0,0,-0.2,-0.2
R04,C01,tpo_range_occupancy,0.1,1.5,2025,1,0.2666666666666666666666666667,0.2666666666666666666666666667,,0,1,0.2666666666666666666666666667,0.2666666666666666666666666667
R04,C01,tpo_range_occupancy,0.2,1.5,2025,1,0.5666666666666666666666666667,0.5666666666666666666666666667,,0,1,0.5666666666666666666666666667,0.5666666666666666666666666667
R04,C01,uniform_bar_volume,0.1,1.5,2025,1,-0.0666666666666666666666666667,-0.0666666666666666666666666667,,0,0,-0.0666666666666666666666666667,-0.0666666666666666666666666667
R04,C01,uniform_bar_volume,0.2,1.5,2023,1,0,0,,0,0,0,0
R04,C02,uniform_bar_volume,0.1,1.5,2025,1,-0.0333333333333333333333333333,-0.0333333333333333333333333333,,0,0,-0.0333333333333333333333333333,-0.0333333333333333333333333333
R05,C01,tpo_range_occupancy,0.2,2.5,2021,1,0.1,0.1,,0,1,0.1,0.1
R05,C01,uniform_bar_volume,0.05,1.5,2021,1,-0.2666666666666666666666666667,-0.2666666666666666666666666667,,0,0,-0.2666666666666666666666666667,-0.2666666666666666666666666667
R05,C01,uniform_bar_volume,0.05,1.5,2026,1,0.4,0.4,,0,1,0.4,0.4
R05,C01,uniform_bar_volume,0.05,2,2026,1,0.4,0.4,,0,1,0.4,0.4
R05,C01,uniform_bar_volume,0.05,2.5,2026,1,0.4,0.4,,0,1,0.4,0.4
R05,C01,uniform_bar_volume,0.1,1.5,2021,2,0.1,0.09999999999999999999999999998,0.00000000000000000000000000003,0.00000000000000000000000000001,1,0.09999999999999999999999999997,0.1
R05,C01,uniform_bar_volume,0.1,2,2021,2,0.1,0.09999999999999999999999999998,0.00000000000000000000000000003,0.00000000000000000000000000001,1,0.09999999999999999999999999997,0.1
R05,C01,uniform_bar_volume,0.2,1.5,2021,2,-0.1,-0.1,0.329983164553722178053727369,0.2333333333333333333333333334,0.5,-0.3333333333333333333333333333,0.1333333333333333333333333333
R05,C01,uniform_bar_volume,0.2,1.5,2026,1,0.3,0.3,,0,1,0.3,0.3
R05,C01,uniform_bar_volume,0.2,2,2021,1,-0.3333333333333333333333333333,-0.3333333333333333333333333333,,0,0,-0.3333333333333333333333333333,-0.3333333333333333333333333333
R05,C01,uniform_bar_volume,0.2,2,2026,1,-0.1,-0.1,,0,0,-0.1,-0.1
R05,C02,tpo_range_occupancy,0.2,2.5,2021,1,0.0333333333333333333333333334,0.0333333333333333333333333334,,0,1,0.0333333333333333333333333334,0.0333333333333333333333333334
R05,C02,uniform_bar_volume,0.05,1.5,2021,1,0.1666666666666666666666666666,0.1666666666666666666666666666,,0,1,0.1666666666666666666666666666,0.1666666666666666666666666666
R05,C02,uniform_bar_volume,0.2,1.5,2026,1,0.3,0.3,,0,1,0.3,0.3
R05,C02,uniform_bar_volume,0.2,2,2026,1,-0.0333333333333333333333333333,-0.0333333333333333333333333333,,0,0,-0.0333333333333333333333333333,-0.0333333333333333333333333333
