relationship_id,gate,status,evidence
R01,G01,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R01,G02,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R01,G03,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R01,G04,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R01,G05,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R01,G06,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R01,G07,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R01,G08,UNDERPOWERED,"unique_primary_episodes=6; years_20plus=0; control_lanes={'C01': {'G02': False, 'G03': False, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': False, 'G04': False, 'G05': True, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 2}}"
R02,G01,UNDERPOWERED,"unique_primary_episodes=61; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R02,G02,UNDERPOWERED,"unique_primary_episodes=61; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R02,G03,UNDERPOWERED,"unique_primary_episodes=61; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R02,G04,UNDERPOWERED,"unique_primary_episodes=61; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R02,G05,UNDERPOWERED,"unique_primary_episodes=61; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R02,G06,UNDERPOWERED,"unique_primary_episodes=61; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R02,G07,UNDERPOWERED,"unique_primary_episodes=61; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
R02,G08,UNDERPOWERED,"unique_primary_episodes=61; years_20plus=1; control_lanes={'C01': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': True, 'G08': False, 'supporting_metrics': 0}, 'C02': {'G02': False, 'G03': True, 'G04': False, 'G05': False, 'G06': False, 'G07': False, 'G08': False, 'supporting_metrics': 0}}"
