relationship_id,control_family,treated_events,matched_pairs,match_rate,control_reuse_count,mean_distance,maximum_absolute_post_match_smd,material_imbalance
R01,C01,574,13,0.02264808362369337979094076655,0,5.95350057348150455249982068,0.597512753509844982133502422,true
R01,C02,574,1,0.001742160278745644599303135889,0,4.207917299759310747144313529,Infinity,true
R02,C01,978,87,0.08895705521472392638036809816,0,4.012634138223021965546098821,0.07328421517307160090685795153,false
R02,C02,978,27,0.0276073619631901840490797546,0,3.741460697290355319765388296,0.2481843985376479231697622531,true
R03,C01,875,182,0.208,0,2.614827985850783857025078317,0.2274244638232537460731282999,true
R03,C02,875,79,0.09028571428571428571428571429,0,2.941127241363867876625606029,0.239176808345755955657771499,true
R04,C01,806,166,0.2059553349875930521091811414,0,2.360799521827547445913079572,0.1417312782263820660466554017,false
R04,C02,806,74,0.09181141439205955334987593052,0,2.297610969842854893685754442,0.1602269549555991250276218969,false
R05,C01,878,175,0.1993166287015945330296127563,0,2.326359125571206614195261617,0.4520847664888351246195316527,true
R05,C02,878,72,0.08200455580865603644646924829,0,2.486636805650054987122198665,0.5656493108428901429259399598,true
