relationship_id,control_family,allocation_method,bin_ratio,prominence_threshold,year,count,mean,median,standard_deviation,iqr,expected_sign_share,ci_low,ci_high
R01,C01,tpo_range_occupancy,0.05,1.5,2021,2,0.1,0.09999999999999999999999999999,0.04714045207910316829338962412,0.03333333333333333333333333327,1,0.06666666666666666666666666667,0.1333333333333333333333333333
R01,C01,tpo_range_occupancy,0.1,1.5,2021,1,0.06666666666666666666666666667,0.06666666666666666666666666667,,0,1,0.06666666666666666666666666667,0.06666666666666666666666666667
R01,C01,tpo_range_occupancy,0.2,1.5,2021,3,0.1222222222222222222222222222,0.1333333333333333333333333334,0.1170628194761415427600156073,0.1166666666666666666666666667,0.6666666666666666666666666667,0,0.2333333333333333333333333333
R01,C01,uniform_bar_volume,0.05,1.5,2021,1,0.06666666666666666666666666667,0.06666666666666666666666666667,,0,1,0.06666666666666666666666666667,0.06666666666666666666666666667
R01,C01,uniform_bar_volume,0.05,2,2021,1,-0.2333333333333333333333333334,-0.2333333333333333333333333334,,0,0,-0.2333333333333333333333333334,-0.2333333333333333333333333334
R01,C01,uniform_bar_volume,0.05,2.5,2021,1,-0.1666666666666666666666666667,-0.1666666666666666666666666667,,0,0,-0.1666666666666666666666666667,-0.1666666666666666666666666667
R01,C01,uniform_bar_volume,0.1,1.5,2021,1,0,0,,0,0,0,0
R01,C01,uniform_bar_volume,0.2,1.5,2021,2,-0.35,-0.35,0.5892556509887896036673703017,0.4166666666666666666666666666,0.5,-0.7666666666666666666666666667,0.06666666666666666666666666667
R01,C01,uniform_bar_volume,0.2,1.5,2023,1,-0.09999999999999999999999999997,-0.09999999999999999999999999997,,0,0,-0.09999999999999999999999999997,-0.09999999999999999999999999997
R01,C02,tpo_range_occupancy,0.2,1.5,2021,1,0,0,,0,0,0,0
R02,C01,tpo_range_occupancy,0.05,1.5,2021,9,0.1703703703703703703703703703,0.03333333333333333333333333334,0.3401161747780881595772887712,0.1666666666666666666666666667,0.5555555555555555555555555556,-0.01111111111111111111111111111,0.4037037037037037037037037037
