bin_ratio,contiguous,contract,family,poc_inside,profile_id,relationship_id,session_date,volume_POC,volume_VAH,volume_VAL,volume_value_area_bin_count,volume_value_area_volume_share,year
0.1,true,NQM9,midnight,true,0062469027d533d45a72,R04,2019-06-10,7444.125,7462.25,7437.25,100,0.7076561420249872417393918376,2019
0.1,true,NQH9,full_overnight,true,006b191194737bea0026,R03,2019-01-10,6564.625,6574.75,6555.5,77,0.7012802763767712303159777293,2019
0.05,true,NQH9,prior_rth,true,00979fc20eaca6c229f8,R01,2019-02-08,6887.125,6918.75,6864.75,216,0.7028057441979578877796192924,2019
0.05,true,NQH9,prior_rth,true,00979fc20eaca6c229f8,R02,2019-02-08,6887.125,6918.75,6864.75,216,0.7028057441979578877796192924,2019
0.05,true,NQZ9,opening_hour_rth,true,00d38033493193f17284,R05,2019-12-09,8421.125,8427.25,8410.25,68,0.7019374731218983496470234519,2019
0.1,true,NQM9,prior_rth,true,00f9b0c287e65da88a14,R01,2019-04-25,7821.625,7836,7816.25,79,0.7042675074396775002267404374,2019
0.1,true,NQM9,prior_rth,true,00f9b0c287e65da88a14,R02,2019-04-25,7821.625,7836,7816.25,79,0.7042675074396775002267404374,2019
0.1,true,NQU9,opening_hour_rth,true,0110ef35506cb71453b5,R05,2019-06-28,7675.125,7687.25,7664.5,91,0.7030478891009389839124131864,2019
0.2,true,NQH9,prior_rth,true,01404b61abebe45f2383,R01,2019-01-09,6557.75,6570.5,6510,121,0.7026646856172007124142888707,2019
0.2,true,NQH9,prior_rth,true,01404b61abebe45f2383,R02,2019-01-09,6557.75,6570.5,6510,121,0.7026646856172007124142888707,2019
0.05,true,NQU9,midnight,true,0163817b5d64fa9a1c11,R04,2019-09-12,7935.625,7942.25,7919.75,90,0.7045333715945821484549098347,2019
0.05,true,NQM9,midnight,true,0164617be5ba286e2f6d,R04,2019-03-27,7383.625,7400.5,7374.5,104,0.7027519121213063133435834575,2019
0.05,true,NQM9,opening_hour_rth,true,01647bd5445fb75d210b,R05,2019-05-24,7367.875,7371.25,7358,53,0.7080591447951550196827597441,2019
0.1,true,NQU9,prior_rth,true,017fc555329685535952,R01,2019-09-10,7868.625,7884,7825.5,234,0.7004623062417814449600197372,2019
0.1,true,NQU9,prior_rth,true,017fc555329685535952,R02,2019-09-10,7868.625,7884,7825.5,234,0.7004623062417814449600197372,2019
0.1,true,NQM9,opening_hour_rth,true,01b318fd99657e5e833f,R05,2019-04-29,7845.125,7849.25,7837.75,46,0.7037829412520008523428203571,2019
0.2,true,NQM9,prior_rth,true,01b7232147c5566ae728,R01,2019-05-20,7571.5,7584,7527,57,0.7020213732737762389725535707,2019
0.2,true,NQM9,prior_rth,true,01b7232147c5566ae728,R02,2019-05-20,7571.5,7584,7527,57,0.7020213732737762389725535707,2019
0.1,true,NQH9,full_overnight,true,024c69df2b3f2e8b542e,R03,2019-01-11,6615.375,6628.75,6604.5,97,0.7026906610677155242991579679,2019
0.1,true,NQH9,midnight,true,0251c7c87733a555086f,R04,2019-01-31,6865.375,6876,6858,72,0.7002379657105581817643876269,2019
0.1,true,NQZ9,full_overnight,true,025d82e87074467d7c18,R03,2019-10-30,8054.875,8065.25,8047.5,71,0.7008558577838183167850164758,2019
0.2,true,NQM9,prior_rth,true,0293418b0c709af1f6f0,R01,2019-06-03,7156.75,7169.5,7138.5,62,0.7041975262185719862849702009,2019
0.2,true,NQM9,prior_rth,true,0293418b0c709af1f6f0,R02,2019-06-03,7156.75,7169.5,7138.5,62,0.7041975262185719862849702009,2019
0.2,true,NQH9,opening_hour_rth,true,02a64a8f27b9624b608f,R05,2019-02-05,7008.125,7013.5,6997.75,63,0.7061365522129768938370614642,2019
0.05,true,NQH9,full_overnight,true,02ae3cb469c85164d049,R03,2019-02-14,7042.625,7055.25,7012.5,171,0.701483706310380768556316357,2019
