bin_ratio,contract,family,mean_active_tpo,mean_active_volume,positive_tpo_bins,positive_volume_bins,profile_id,relationship_id,session_date,year
0.1,NQM9,midnight,27.65467625899280575539568345,397.6906474820143884892086328,139,139,0062469027d533d45a72,R04,2019-06-10,2019
0.1,NQH9,full_overnight,34.265625,387.4296875000000000000000001,256,256,006b191194737bea0026,R03,2019-01-10,2019
0.05,NQH9,prior_rth,19.12378640776699029126213592,1218.524271844660194174757284,412,412,00979fc20eaca6c229f8,R01,2019-02-08,2019
0.05,NQH9,prior_rth,19.12378640776699029126213592,1218.524271844660194174757284,412,412,00979fc20eaca6c229f8,R02,2019-02-08,2019
0.05,NQZ9,opening_hour_rth,5.038216560509554140127388535,404.3248407643312101910828028,157,157,00d38033493193f17284,R05,2019-12-09,2019
0.1,NQM9,prior_rth,22.45402298850574712643678161,1612.488505747126436781609193,174,174,00f9b0c287e65da88a14,R01,2019-04-25,2019
0.1,NQM9,prior_rth,22.45402298850574712643678161,1612.488505747126436781609193,174,174,00f9b0c287e65da88a14,R02,2019-04-25,2019
0.1,NQU9,opening_hour_rth,5.875675675675675675675675676,367.8108108108108108108108104,185,185,0110ef35506cb71453b5,R05,2019-06-28,2019
0.2,NQH9,prior_rth,18.94142259414225941422594142,1770.744769874476987447698745,239,239,01404b61abebe45f2383,R01,2019-01-09,2019
0.2,NQH9,prior_rth,18.94142259414225941422594142,1770.744769874476987447698745,239,239,01404b61abebe45f2383,R02,2019-01-09,2019
0.05,NQU9,midnight,33.92857142857142857142857143,482.6845238095238095238095243,168,168,0163817b5d64fa9a1c11,R04,2019-09-12,2019
0.05,NQM9,midnight,23.36158192090395480225988701,393.4689265536723163841807914,177,177,0164617be5ba286e2f6d,R04,2019-03-27,2019
0.05,NQM9,opening_hour_rth,9.634615384615384615384615385,578.2564102564102564102564105,156,156,01647bd5445fb75d210b,R05,2019-05-24,2019
0.1,NQU9,prior_rth,15.8128654970760233918128655,841.2368421052631578947368427,342,342,017fc555329685535952,R01,2019-09-10,2019
0.1,NQU9,prior_rth,15.8128654970760233918128655,841.2368421052631578947368427,342,342,017fc555329685535952,R02,2019-09-10,2019
0.1,NQM9,opening_hour_rth,11.34693877551020408163265306,878.5918367346938775510204082,98,98,01b318fd99657e5e833f,R05,2019-04-29,2019
0.2,NQM9,prior_rth,23.09821428571428571428571429,4157.125000000000000000000001,112,112,01b7232147c5566ae728,R01,2019-05-20,2019
0.2,NQM9,prior_rth,23.09821428571428571428571429,4157.125000000000000000000001,112,112,01b7232147c5566ae728,R02,2019-05-20,2019
0.1,NQH9,full_overnight,40.4375,422.7556818181818181818181815,176,176,024c69df2b3f2e8b542e,R03,2019-01-11,2019
0.1,NQH9,midnight,27.3525641025641025641025641,457.0576923076923076923076922,156,156,0251c7c87733a555086f,R04,2019-01-31,2019
0.1,NQZ9,full_overnight,32.19827586206896551724137931,426.3706896551724137931034482,116,116,025d82e87074467d7c18,R03,2019-10-30,2019
0.2,NQM9,prior_rth,30.38983050847457627118644068,3023.093220338983050847457628,118,118,0293418b0c709af1f6f0,R01,2019-06-03,2019
0.2,NQM9,prior_rth,30.38983050847457627118644068,3023.093220338983050847457628,118,118,0293418b0c709af1f6f0,R02,2019-06-03,2019
0.2,NQH9,opening_hour_rth,6.516129032258064516129032258,518.7741935483870967741935485,186,186,02a64a8f27b9624b608f,R05,2019-02-05,2019
0.05,NQH9,full_overnight,22.23809523809523809523809524,334.7993197278911564625850337,294,294,02ae3cb469c85164d049,R03,2019-02-14,2019
0.2,NQZ9,full_overnight,31.26136363636363636363636364,716.6060606060606060606060595,264,264,02b873f3a344d16378d0,R03,2019-10-10,2019
0.1,NQU9,opening_hour_rth,5.479838709677419354838709677,439.9758064516129032258064516,248,248,030bfc85f51aeaa4f33e,R05,2019-07-10,2019
0.2,NQZ9,opening_hour_rth,5.803571428571428571428571429,730.6607142857142857142857144,112,112,0337e75fef7d75957a15,R05,2019-12-10,2019
0.2,NQH9,prior_rth,33.25,4303.671052631578947368421055,76,76,0348e2cbbb2bfdc0b54e,R01,2019-01-25,2019
0.2,NQH9,prior_rth,33.25,4303.671052631578947368421055,76,76,0348e2cbbb2bfdc0b54e,R02,2019-01-25,2019
0.2,NQM9,opening_hour_rth,13.09259259259259259259259259,1560.703703703703703703703704,54,54,0349ab6f9a17b28839cc,R05,2019-03-12,2019
0.1,NQU9,opening_hour_rth,5.457399103139013452914798206,309.3587443946188340807174891,223,223,03576bb398babb48090e,R05,2019-06-17,2019
0.05,NQH9,opening_hour_rth,7.804733727810650887573964497,599.4615384615384615384615373,169,169,03677a4da6c53004bda7,R05,2019-01-30,2019
0.1,NQH9,midnight,22.79310344827586206896551724,367.0057471264367816091954024,174,174,0371dc56d91b7f27d1b7,R04,2019-02-07,2019
0.1,NQM9,prior_rth,16.86597938144329896907216495,1290.01718213058419243986254,291,291,037aa209085bb89a10cb,R01,2019-04-26,2019
0.1,NQM9,prior_rth,16.86597938144329896907216495,1290.01718213058419243986254,291,291,037aa209085bb89a10cb,R02,2019-04-26,2019
0.2,NQZ9,full_overnight,22.61691542288557213930348259,530.8557213930348258706467652,201,201,038f64041f2381557b8b,R03,2019-10-02,2019
0.2,NQZ9,full_overnight,23,606.6220930232558139534883709,172,172,03b8d50d256103496202,R03,2019-09-19,2019
0.2,NQH9,prior_rth,16.16990291262135922330097087,1990.111650485436893203883494,206,206,03efdb92cce722c24faa,R01,2019-02-01,2019
0.2,NQH9,prior_rth,16.16990291262135922330097087,1990.111650485436893203883494,206,206,03efdb92cce722c24faa,R02,2019-02-01,2019
0.05,NQZ9,full_overnight,23.19934640522875816993464052,238.797385620915032679738562,306,306,03feb31d1ce4906d8b9e,R03,2019-10-07,2019
0.1,NQH0,midnight,17.45588235294117647058823529,354.1617647058823529411764707,136,136,042b57b2b5ce58c50227,R04,2019-12-30,2019
0.1,NQM9,midnight,13.22760290556900726392251816,245.6707021791767554479418893,413,413,04338a38700594b8553f,R04,2019-05-15,2019
0.05,NQM9,prior_rth,30.75348837209302325581395349,1523.404651162790697674418604,215,215,043db3ef895dc1a07fc0,R01,2019-05-23,2019
0.05,NQM9,prior_rth,30.75348837209302325581395349,1523.404651162790697674418604,215,215,043db3ef895dc1a07fc0,R02,2019-05-23,2019
0.1,NQM9,midnight,35.52173913043478260869565217,588.7934782608695652173913046,92,92,043efba4e0c28f82283c,R04,2019-04-04,2019
0.1,NQU9,prior_rth,12.59362549800796812749003984,661.8386454183266932270916347,502,502,0440299b4c21c3115565,R01,2019-07-22,2019
0.1,NQU9,prior_rth,12.59362549800796812749003984,661.8386454183266932270916347,502,502,0440299b4c21c3115565,R02,2019-07-22,2019
0.1,NQH9,opening_hour_rth,8.486301369863013698630136986,648.897260273972602739726027,146,146,0444b8a3de7234d2bee8,R05,2019-03-06,2019
0.05,NQH9,prior_rth,22.46816479400749063670411985,1111.786516853932584269662926,267,267,045b1bf8971aa9bdf505,R01,2019-02-12,2019
0.05,NQH9,prior_rth,22.46816479400749063670411985,1111.786516853932584269662926,267,267,045b1bf8971aa9bdf505,R02,2019-02-12,2019
0.2,NQZ9,prior_rth,13.76136363636363636363636364,1893.261363636363636363636368,176,176,0461afddad8067d87928,R01,2019-09-23,2019
0.2,NQZ9,prior_rth,13.76136363636363636363636364,1893.261363636363636363636368,176,176,0461afddad8067d87928,R02,2019-09-23,2019
