active_tick_count,allocated_total_volume,atr_reference_time,atr_value,code_sha,contract,family,freeze_time,invalid_reason,poc_index,poc_price,profile_id,profile_range_high,profile_range_low,session_date,smoothing_half_width_ticks,smoothing_span_atr,smoothing_span_points,source_bar_count,source_date,source_total_volume,tick_count,tpo_total,valid,year
237,64199.99999999999999999999983,2019-01-18T00:00:00-05:00,0.9142627644298091208095504129,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQH9,midnight,2019-01-18T09:30:00-05:00,,27006,6751.625,000181fe67c6fecf6c7d,6787.5,6728.25,2019-01-18,2,1.367221819188466470174400676,1.25,570,2019-01-18,64200,237,4191,true,2019
98,86102.00000000000000000000001,2019-04-29T09:30:00-04:00,1.791794080913788187081218203,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQM9,opening_hour_rth,2019-04-29T10:30:00-04:00,,31380,7845.125,0049442e3899ed9c34e6,7851.75,7827.25,2019-04-29,2,0.697624807066288941131009433,1.25,60,2019-04-29,86102,98,1112,true,2019
197,75748.00000000000000000000005,2019-02-25T17:00:00-05:00,1.743833749628763857329403626,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQH9,full_overnight,2019-02-26T09:30:00-05:00,,28391,7097.875,00671d426e6be9a5c330,7122.5,7073.25,2019-02-26,2,0.7168114507854354338604233804,1.25,930,2019-02-26,75748,197,5362,true,2019
526,333214.0000000000000000000002,2019-09-20T09:30:00-04:00,3.135345477062097891845751261,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQZ9,prior_rth,2019-09-20T16:00:00-04:00,,31726,7931.625,0078278d143e6b3ff2cc,7942.25,7810.75,2019-09-23,2,0.3986801483743613633251940493,1.25,390,2019-09-20,333214,526,6475,true,2019
272,261825.0000000000000000000002,2019-04-08T09:30:00-04:00,1.719481747427119455686533893,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQM9,prior_rth,2019-04-08T16:00:00-04:00,,30372,7593.125,0182c5442c60e79f6612,7629.25,7561.25,2019-04-09,2,0.7269632270714065696616753243,1.25,390,2019-04-08,261825,272,3966,true,2019
102,70538.00000000000000000000007,2019-07-12T09:30:00-04:00,1.707380688855655826917513581,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQU9,opening_hour_rth,2019-07-12T10:30:00-04:00,,31778,7944.625,0192f1f6f6dc6c7587bf,7950,7924.5,2019-07-12,2,0.7321155780658338099059519779,1.25,60,2019-07-12,70538,102,982,true,2019
317,295256.9999999999999999999995,2019-05-24T09:30:00-04:00,2.748592469329516139813594598,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQM9,prior_rth,2019-05-24T16:00:00-04:00,,29297,7324.375,01bba9e94bdea915d3c7,7379.75,7300.5,2019-05-28,2,0.4547782233809734109986812344,1.25,390,2019-05-24,295257,317,6356,true,2019
233,90274.00000000000000000000008,2019-06-11T17:00:00-04:00,1.925917967837954638780741664,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQM9,full_overnight,2019-06-12T09:30:00-04:00,,29948,7487.125,021e9b52893475eda8ad,7531,7472.75,2019-06-12,2,0.6490411434310758279053810366,1.25,930,2019-06-12,90274,233,6265,true,2019
258,53431,2019-03-08T17:00:00-05:00,2.003056585667675340379335513,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQM9,full_overnight,2019-03-11T09:30:00-04:00,,28290,7072.625,027d098d6cf4f482a46d,7089.25,7024.75,2019-03-11,2,0.6240462745506211903778832767,1.25,930,2019-03-11,53431,258,5386,true,2019
134,93347.00000000000000000000009,2019-11-21T09:30:00-05:00,2.614966437672727975820237085,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQZ9,opening_hour_rth,2019-11-21T10:30:00-05:00,,33080,8270.125,02a8ea834d4edbb1447b,8287.5,8254,2019-11-21,2,0.4780176074123830838900494726,1.25,60,2019-11-21,93347,134,1441,true,2019
499,248284.0000000000000000000005,2019-03-11T09:30:00-04:00,1.85245086428801741395621303,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQM9,prior_rth,2019-03-11T16:00:00-04:00,,28732,7183.125,02d6c21c7b93b5712a96,7197.25,7072.5,2019-03-12,2,0.6747817305699133032315374124,1.25,390,2019-03-11,248284,499,4355,true,2019
517,375385.0000000000000000000008,2019-05-16T09:30:00-04:00,3.121037176177492139973317401,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQM9,prior_rth,2019-05-16T16:00:00-04:00,,30457,7614.375,030771c5b9bcf1d3ee6b,7641,7511.75,2019-05-17,2,0.4005078855007246470319801158,1.25,390,2019-05-16,375385,517,6507,true,2019
231,272486.9999999999999999999996,2019-01-14T09:30:00-05:00,1.752142266516691054551520773,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQH9,prior_rth,2019-01-14T16:00:00-05:00,,26277,6569.375,0327f9c6289d20a35520,6579.25,6521.5,2019-01-15,2,0.7134123888724148844106431308,1.25,390,2019-01-14,272487,231,5866,true,2019
446,366024,2019-08-27T09:30:00-04:00,2.996651835793818739408305743,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQU9,prior_rth,2019-08-27T16:00:00-04:00,,30302,7575.625,038916c838e3f81240a8,7648.5,7537,2019-08-28,2,0.4171322090438553184975540873,1.25,390,2019-08-27,366024,446,7947,true,2019
101,43760.99999999999999999999998,2019-03-01T00:00:00-05:00,0.7694032914248719338964023217,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQH9,midnight,2019-03-01T09:30:00-05:00,,28620,7155.125,03c21eab4c532627bdcf,7160.25,7135,2019-03-01,2,1.624635628585760648385075166,1.25,570,2019-03-01,43761,101,2794,true,2019
188,72935.00000000000000000000001,2019-09-10T00:00:00-04:00,1.206125708305420314238138685,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQU9,midnight,2019-09-10T09:30:00-04:00,,31230,7807.625,03f2603e5e9a30fb6eb2,7828.75,7781.75,2019-09-10,2,1.036376217994907086277827483,1.25,570,2019-09-10,72935,188,5206,true,2019
332,377532.0000000000000000000005,2019-02-14T09:30:00-05:00,3.934959162911603444864572189,72e6777d760308a8b761fa05fa8dc2be7bb649b0,NQH9,prior_rth,2019-02-14T16:00:00-05:00,,28166,7041.625,042251ba58af8a687149,7055,6972,2019-02-15,2,0.3176653043268394698175270288,1.25,390,2019-02-14,377532,332,6299,true,2019
