contract,family,freeze_time,max_raw_activity,mean_active_tpo,mean_active_volume,median_raw_activity,positive_tpo_ticks,positive_volume_ticks,profile_id,session_date,source_date,year
NQH9,midnight,2019-01-18T09:30:00-05:00,3.850284703929412437199861997551294573423,17.68354430379746835443037975,270.886075949367088607594936,0.6806545415431550344234017491728808268723,237,237,000181fe67c6fecf6c7d,2019-01-18,2019-01-18,2019
NQM9,opening_hour_rth,2019-04-29T10:30:00-04:00,2.270202886106806181261627847481701593159,11.34693877551020408163265306,878.5918367346938775510204083,0.8959532251578944882581793205,98,98,0049442e3899ed9c34e6,2019-04-29,2019-04-29,2019
NQH9,full_overnight,2019-02-26T09:30:00-05:00,2.361278616156563560257450908772302511099,27.21827411167512690355329949,384.5076142131979695431472084,1.071248078994766561988295037382670093145,197,197,00671d426e6be9a5c330,2019-02-26,2019-02-26,2019
NQZ9,prior_rth,2019-09-20T16:00:00-04:00,2.745999747927017988046705640415317924873,12.30988593155893536121673004,633.4866920152091254752851715,0.8883971521460863694190682515,526,526,0078278d143e6b3ff2cc,2019-09-23,2019-09-20,2019
NQM9,prior_rth,2019-04-08T16:00:00-04:00,2.743583101876917063015540263424165147694,14.58088235294117647058823529,962.5919117647058823529411772,0.925314988433166333094245045,272,272,0182c5442c60e79f6612,2019-04-09,2019-04-08,2019
NQU9,opening_hour_rth,2019-07-12T10:30:00-04:00,1.868324525311725656625852171140453417466,9.627450980392156862745098039,691.5490196078431372549019615,1.077596230369619595637857454,102,102,0192f1f6f6dc6c7587bf,2019-07-12,2019-07-12,2019
NQM9,prior_rth,2019-05-24T16:00:00-04:00,2.686568872766164237413700270833994124816,20.05047318611987381703470032,931.4100946372239747634069385,1.016186631067981365899549743122304680261,317,317,01bba9e94bdea915d3c7,2019-05-28,2019-05-24,2019
NQM9,full_overnight,2019-06-12T09:30:00-04:00,3.36001834736210862444638098507229696041,26.88841201716738197424892704,387.4420600858369098712446355,0.7595187396667799756345095424438345389961,233,233,021e9b52893475eda8ad,2019-06-12,2019-06-12,2019
NQM9,full_overnight,2019-03-11T09:30:00-04:00,3.279803015258360140113557169080744500386,20.87596899224806201550387597,207.0968992248062015503875969,0.925665594617594840599182305,258,258,027d098d6cf4f482a46d,2019-03-11,2019-03-11,2019
NQZ9,opening_hour_rth,2019-11-21T10:30:00-05:00,1.858327216270855304661003233684396601899,10.75373134328358208955223881,696.6194029850746268656716425,0.9089576288025443796739035575,134,134,02a8ea834d4edbb1447b,2019-11-21,2019-11-21,2019
