rejection_reason,zone_class,count
,NONPOC_HVN_ZONE,248
,POC_HVN_ZONE,891
BASIN_TOO_NARROW,NONPOC_HVN_ZONE,31
BASIN_TOO_NARROW,POC_HVN_ZONE,3
NO_VALID_BASIN_SEPARATION,BROAD_ACTIVITY_DISTRIBUTION,23
NO_VALID_BASIN_SEPARATION,NONPOC_HVN_ZONE,336
OVERLAPS_VOLUME_POC,NONPOC_HVN_ZONE,851
PEAK_ACTIVITY_TOO_LOW,NONPOC_HVN_ZONE,15
PEAK_PERCENTILE_TOO_LOW,NONPOC_HVN_ZONE,11397
PEAK_TO_VALLEY_TOO_LOW,NONPOC_HVN_ZONE,787
WIDTH_EXCEEDS_MAXIMUM,BROAD_ACTIVITY_DISTRIBUTION,190
WIDTH_EXCEEDS_MAXIMUM,POC_BROAD_DISTRIBUTION,1
ZONE_ACTIVITY_DENSITY_TOO_LOW,NONPOC_HVN_ZONE,2
ZONE_VOLUME_DENSITY_TOO_LOW,NONPOC_HVN_ZONE,5
