contiguous,contract,family,freeze_time,poc_inside,profile_id,session_date,source_date,tpo_POC,tpo_VAH,tpo_VAL,tpo_value_area_share,tpo_value_area_tick_count,year
true,NQH9,midnight,2019-01-18T09:30:00-05:00,true,000181fe67c6fecf6c7d,2019-01-18,2019-01-18,6738.375,6750.25,6731,0.7015032211882605583392984968,77,2019
true,NQM9,opening_hour_rth,2019-04-29T10:30:00-04:00,true,0049442e3899ed9c34e6,2019-04-29,2019-04-29,7845.125,7849,7837.5,0.7077338129496402877697841727,46,2019
true,NQH9,full_overnight,2019-02-26T09:30:00-05:00,true,00671d426e6be9a5c330,2019-02-26,2019-02-26,7087.125,7102.25,7081.5,0.7045878403580753450205147333,83,2019
true,NQZ9,prior_rth,2019-09-20T16:00:00-04:00,true,0078278d143e6b3ff2cc,2019-09-23,2019-09-20,7845.375,7897.25,7810.75,0.7006949806949806949806949807,346,2019
true,NQM9,prior_rth,2019-04-08T16:00:00-04:00,true,0182c5442c60e79f6612,2019-04-09,2019-04-08,7592.125,7606.25,7568.75,0.7017145738779626828038325769,150,2019
true,NQU9,opening_hour_rth,2019-07-12T10:30:00-04:00,true,0192f1f6f6dc6c7587bf,2019-07-12,2019-07-12,7933.125,7943.25,7929.5,0.7046843177189409368635437882,55,2019
true,NQM9,prior_rth,2019-05-24T16:00:00-04:00,true,01bba9e94bdea915d3c7,2019-05-28,2019-05-24,7321.625,7346,7314.75,0.7012271869100062932662051605,125,2019
true,NQM9,full_overnight,2019-06-12T09:30:00-04:00,true,021e9b52893475eda8ad,2019-06-12,2019-06-12,7487.125,7507.5,7473.75,0.7056664006384676775738228252,135,2019
true,NQM9,full_overnight,2019-03-11T09:30:00-04:00,true,027d098d6cf4f482a46d,2019-03-11,2019-03-11,7072.625,7076.5,7046.75,0.7021908652060898626067582622,119,2019
true,NQZ9,opening_hour_rth,2019-11-21T10:30:00-05:00,true,02a8ea834d4edbb1447b,2019-11-21,2019-11-21,8271.125,8280.5,8263.5,0.7009021512838306731436502429,68,2019
