population,anchor,session,treated_events,underpowered,treated_median_bars_3atr,treated_returned_inside_3atr_pct,c01_neutral_events,c01_neutral_median_bars_3atr,c01_neutral_returned_inside_3atr_pct,c02_activity_matched_events,c02_activity_matched_median_bars_3atr,c02_activity_matched_returned_inside_3atr_pct
NONPOC,ALL_ANCHORS,ALL_SESSIONS,1391,False,3,86.41,1382,4,85.24,1248,3,85.10
NONPOC,ALL_ANCHORS,ETH_EVENING,196,False,75,87.76,188,74,87.23,169,73,88.76
NONPOC,ALL_ANCHORS,ETH_OVERNIGHT,93,False,22,67.74,101,29,67.33,87,26,65.52
NONPOC,ALL_ANCHORS,OUT_OF_SESSION,1,True,,0.00,2,,0.00,0,,
NONPOC,ALL_ANCHORS,RTH_AFTERNOON,62,False,3,66.13,66,3,68.18,64,4,70.31
NONPOC,ALL_ANCHORS,RTH_MIDDAY,101,False,5,88.12,96,5,86.46,91,4,91.21
NONPOC,ALL_ANCHORS,RTH_MORNING,319,False,5,84.01,321,5,81.62,265,5,81.89
NONPOC,ALL_ANCHORS,RTH_OPEN,619,False,1,91.92,608,1,91.45,572,1,89.16
NONPOC,R01,ALL_SESSIONS,289,False,51,81.31,289,46,80.28,257,54,80.54
NONPOC,R01,ETH_EVENING,196,False,75,87.76,188,74,87.23,169,73,88.76
NONPOC,R01,ETH_OVERNIGHT,93,False,22,67.74,101,29,67.33,87,26,65.52
NONPOC,R02,ALL_SESSIONS,308,False,3,87.99,304,4,84.87,278,3,85.61
NONPOC,R02,OUT_OF_SESSION,1,True,,0.00,1,,0.00,0,,
NONPOC,R02,RTH_AFTERNOON,26,True,5,65.38,29,4,65.52,26,4,73.08
NONPOC,R02,RTH_MIDDAY,28,True,4,78.57,26,5,73.08,25,4,84.00
NONPOC,R02,RTH_MORNING,47,False,7,85.11,45,5,77.78,40,6,72.50
NONPOC,R02,RTH_OPEN,206,False,3,93.20,203,3,91.13,187,2,90.37
NONPOC,R03,ALL_SESSIONS,387,False,1,90.44,384,1,89.58,341,1,90.03
NONPOC,R03,RTH_AFTERNOON,18,True,3,83.33,18,4,72.22,15,3,80.00
NONPOC,R03,RTH_MIDDAY,30,False,4,93.33,31,4,90.32,25,3,96.00
NONPOC,R03,RTH_MORNING,42,False,2,88.10,45,3,86.67,33,2,90.91
NONPOC,R03,RTH_OPEN,297,False,1,90.91,290,1,91.03,268,1,89.93
NONPOC,R04,ALL_SESSIONS,153,False,1,91.50,154,1,92.21,148,1,87.84
NONPOC,R04,RTH_AFTERNOON,10,True,2,70.00,10,2,80.00,8,1,75.00
NONPOC,R04,RTH_MIDDAY,10,True,4,100.00,9,4,100.00,11,4,100.00
NONPOC,R04,RTH_MORNING,17,True,1,94.12,20,1,90.00,13,1,100.00
NONPOC,R04,RTH_OPEN,116,False,1,92.24,115,1,93.04,116,1,86.21
NONPOC,R05,ALL_SESSIONS,254,False,6,81.10,251,6,80.48,224,6,80.36
NONPOC,R05,RTH_AFTERNOON,8,True,16,25.00,9,8,55.56,15,8,53.33
NONPOC,R05,RTH_MIDDAY,33,False,7,87.88,30,7,90.00,30,8,90.00
NONPOC,R05,RTH_MORNING,213,False,5,82.16,211,5,80.57,179,5,81.01
POC,ALL_ANCHORS,ALL_SESSIONS,3165,False,2,83.67,3150,2,83.68,2243,2,84.84
POC,ALL_ANCHORS,ETH_EVENING,378,False,60,76.72,376,54,77.93,254,49,79.13
POC,ALL_ANCHORS,ETH_OVERNIGHT,159,False,32,59.75,155,31,67.10,120,26,73.33
POC,ALL_ANCHORS,OUT_OF_SESSION,1,True,,0.00,2,,0.00,1,,0.00
POC,ALL_ANCHORS,RTH_AFTERNOON,98,False,4,71.43,100,3,71.00,73,5,71.23
POC,ALL_ANCHORS,RTH_MIDDAY,151,False,7,78.81,145,6,87.59,109,6,84.40
POC,ALL_ANCHORS,RTH_MORNING,732,False,6,82.51,740,6,81.35,531,5,81.17
POC,ALL_ANCHORS,RTH_OPEN,1646,False,1,89.31,1632,1,88.17,1155,1,89.96
POC,R01,ALL_SESSIONS,537,False,45,71.69,531,41,74.76,374,40,77.27
POC,R01,ETH_EVENING,378,False,60,76.72,376,54,77.93,254,49,79.13
POC,R01,ETH_OVERNIGHT,159,False,32,59.75,155,31,67.10,120,26,73.33
POC,R02,ALL_SESSIONS,489,False,3,84.25,483,3,83.44,351,3,82.91
POC,R02,OUT_OF_SESSION,1,True,,0.00,2,,0.00,1,,0.00
POC,R02,RTH_AFTERNOON,35,False,3,65.71,31,3,67.74,30,7,60.00
