threshold,horizon_minutes,population,approach_side,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,treated_returned_inside_pct,control_returned_inside_pct,underpowered
3atr,15,NONPOC,APPROACH_FROM_BELOW,C01_NEUTRAL,480,464,49.38,50.43,-1.05,86.04,86.42,False
3atr,15,NONPOC,APPROACH_FROM_BELOW,C02_ACTIVITY_MATCHED,480,434,49.38,52.07,-2.69,86.04,85.71,False
3atr,15,NONPOC,APPROACH_FROM_ABOVE,C01_NEUTRAL,539,575,50.09,46.09,4.00,87.94,85.91,False
3atr,15,NONPOC,APPROACH_FROM_ABOVE,C02_ACTIVITY_MATCHED,539,512,50.09,46.68,3.41,87.94,84.77,False
3atr,15,POC,APPROACH_FROM_BELOW,C01_NEUTRAL,928,848,50.00,49.06,0.94,83.30,85.14,False
3atr,15,POC,APPROACH_FROM_BELOW,C02_ACTIVITY_MATCHED,928,700,50.00,51.00,-1.00,83.30,83.86,False
3atr,15,POC,APPROACH_FROM_ABOVE,C01_NEUTRAL,1060,1174,52.74,54.17,-1.43,84.53,82.71,False
3atr,15,POC,APPROACH_FROM_ABOVE,C02_ACTIVITY_MATCHED,1060,756,52.74,51.19,1.55,84.53,85.45,False
3atr,30,NONPOC,APPROACH_FROM_BELOW,C01_NEUTRAL,477,462,51.78,48.05,3.73,85.95,86.58,False
3atr,30,NONPOC,APPROACH_FROM_BELOW,C02_ACTIVITY_MATCHED,477,432,51.78,52.78,-1.00,85.95,85.65,False
3atr,30,NONPOC,APPROACH_FROM_ABOVE,C01_NEUTRAL,535,573,45.98,44.85,1.13,88.22,85.86,False
3atr,30,NONPOC,APPROACH_FROM_ABOVE,C02_ACTIVITY_MATCHED,535,510,45.98,45.29,0.69,88.22,84.71,False
3atr,30,POC,APPROACH_FROM_BELOW,C01_NEUTRAL,923,841,50.38,50.77,-0.39,83.42,85.37,False
3atr,30,POC,APPROACH_FROM_BELOW,C02_ACTIVITY_MATCHED,923,692,50.38,50.87,-0.49,83.42,84.10,False
3atr,30,POC,APPROACH_FROM_ABOVE,C01_NEUTRAL,1050,1162,50.57,51.55,-0.98,84.86,83.05,False
3atr,30,POC,APPROACH_FROM_ABOVE,C02_ACTIVITY_MATCHED,1050,752,50.57,50.53,0.04,84.86,85.37,False
3atr,60,NONPOC,APPROACH_FROM_BELOW,C01_NEUTRAL,468,451,50.85,48.12,2.73,86.54,87.36,False
3atr,60,NONPOC,APPROACH_FROM_BELOW,C02_ACTIVITY_MATCHED,468,417,50.85,48.44,2.41,86.54,86.33,False
3atr,60,NONPOC,APPROACH_FROM_ABOVE,C01_NEUTRAL,523,560,43.98,43.39,0.59,88.91,86.79,False
3atr,60,NONPOC,APPROACH_FROM_ABOVE,C02_ACTIVITY_MATCHED,523,494,43.98,46.36,-2.38,88.91,85.22,False
3atr,60,POC,APPROACH_FROM_BELOW,C01_NEUTRAL,896,824,49.00,50.12,-1.12,84.15,86.04,False
3atr,60,POC,APPROACH_FROM_BELOW,C02_ACTIVITY_MATCHED,896,675,49.00,48.59,0.41,84.15,85.04,False
3atr,60,POC,APPROACH_FROM_ABOVE,C01_NEUTRAL,1037,1148,50.92,52.35,-1.43,85.05,83.10,False
3atr,60,POC,APPROACH_FROM_ABOVE,C02_ACTIVITY_MATCHED,1037,744,50.92,52.96,-2.04,85.05,85.48,False
5atr,15,NONPOC,APPROACH_FROM_BELOW,C01_NEUTRAL,470,453,50.64,50.55,0.09,77.45,74.83,False
5atr,15,NONPOC,APPROACH_FROM_BELOW,C02_ACTIVITY_MATCHED,470,420,50.64,47.62,3.02,77.45,77.86,False
5atr,15,NONPOC,APPROACH_FROM_ABOVE,C01_NEUTRAL,526,565,47.34,44.42,2.92,76.62,76.64,False
5atr,15,NONPOC,APPROACH_FROM_ABOVE,C02_ACTIVITY_MATCHED,526,500,47.34,49.40,-2.06,76.62,74.60,False
5atr,15,POC,APPROACH_FROM_BELOW,C01_NEUTRAL,905,837,48.40,50.30,-1.90,74.48,75.03,False
5atr,15,POC,APPROACH_FROM_BELOW,C02_ACTIVITY_MATCHED,905,680,48.40,48.97,-0.57,74.48,75.29,False
5atr,15,POC,APPROACH_FROM_ABOVE,C01_NEUTRAL,1050,1161,53.33,53.83,-0.50,74.19,73.21,False
5atr,15,POC,APPROACH_FROM_ABOVE,C02_ACTIVITY_MATCHED,1050,747,53.33,51.27,2.06,74.19,76.31,False
5atr,30,NONPOC,APPROACH_FROM_BELOW,C01_NEUTRAL,465,445,49.89,51.24,-1.35,77.85,75.73,False
5atr,30,NONPOC,APPROACH_FROM_BELOW,C02_ACTIVITY_MATCHED,465,416,49.89,49.04,0.85,77.85,77.88,False
5atr,30,NONPOC,APPROACH_FROM_ABOVE,C01_NEUTRAL,521,561,46.07,44.74,1.33,77.16,77.18,False
5atr,30,NONPOC,APPROACH_FROM_ABOVE,C02_ACTIVITY_MATCHED,521,496,46.07,48.39,-2.32,77.16,75.00,False
5atr,30,POC,APPROACH_FROM_BELOW,C01_NEUTRAL,895,829,47.60,49.46,-1.86,74.75,75.39,False
5atr,30,POC,APPROACH_FROM_BELOW,C02_ACTIVITY_MATCHED,895,673,47.60,48.29,-0.69,74.75,75.63,False
5atr,30,POC,APPROACH_FROM_ABOVE,C01_NEUTRAL,1037,1152,52.27,52.86,-0.59,74.54,73.44,False
5atr,30,POC,APPROACH_FROM_ABOVE,C02_ACTIVITY_MATCHED,1037,746,52.27,52.41,-0.14,74.54,76.27,False
5atr,60,NONPOC,APPROACH_FROM_BELOW,C01_NEUTRAL,450,434,51.11,52.07,-0.96,78.44,76.73,False
5atr,60,NONPOC,APPROACH_FROM_BELOW,C02_ACTIVITY_MATCHED,450,407,51.11,45.21,5.90,78.44,78.38,False
5atr,60,NONPOC,APPROACH_FROM_ABOVE,C01_NEUTRAL,510,548,44.51,42.88,1.63,77.84,77.74,False
5atr,60,NONPOC,APPROACH_FROM_ABOVE,C02_ACTIVITY_MATCHED,510,481,44.51,48.02,-3.51,77.84,75.68,False
5atr,60,POC,APPROACH_FROM_BELOW,C01_NEUTRAL,878,806,49.09,48.39,0.70,75.40,76.30,False
5atr,60,POC,APPROACH_FROM_BELOW,C02_ACTIVITY_MATCHED,878,652,49.09,46.32,2.77,75.40,76.23,False
5atr,60,POC,APPROACH_FROM_ABOVE,C01_NEUTRAL,1018,1130,52.46,52.04,0.42,74.85,73.81,False
5atr,60,POC,APPROACH_FROM_ABOVE,C02_ACTIVITY_MATCHED,1018,731,52.46,53.08,-0.62,74.85,76.47,False
