population,arm,horizon_bars,events,continued,continued_pct
NONPOC,TREATED,15,1370,689,50.29
NONPOC,TREATED,30,1364,669,49.05
NONPOC,TREATED,60,1340,668,49.85
NONPOC,C01_NEUTRAL,15,1358,677,49.85
NONPOC,C01_NEUTRAL,30,1348,671,49.78
NONPOC,C01_NEUTRAL,60,1329,679,51.09
NONPOC,C02_ACTIVITY_MATCHED,15,1230,596,48.46
NONPOC,C02_ACTIVITY_MATCHED,30,1219,624,51.19
NONPOC,C02_ACTIVITY_MATCHED,60,1195,637,53.31
POC,TREATED,15,3133,1616,51.58
POC,TREATED,30,3126,1591,50.90
POC,TREATED,60,3092,1608,52.01
POC,C01_NEUTRAL,15,3115,1565,50.24
POC,C01_NEUTRAL,30,3111,1560,50.14
POC,C01_NEUTRAL,60,3079,1599,51.93
POC,C02_ACTIVITY_MATCHED,15,2221,1128,50.79
POC,C02_ACTIVITY_MATCHED,30,2213,1093,49.39
POC,C02_ACTIVITY_MATCHED,60,2184,1097,50.23
