population,efficiency,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
NONPOC,low,15,C01_NEUTRAL,895,887,51.84,51.63,0.21,2/4,False,False,54.89,49.16,56.77,48.81
NONPOC,low,15,C02_ACTIVITY_MATCHED,895,782,51.84,49.10,2.74,3/4,True,False,54.89,49.16,56.77,48.81
NONPOC,low,30,C01_NEUTRAL,892,879,50.22,51.08,-0.86,3/4,True,False,52.63,46.41,53.51,49.66
NONPOC,low,30,C02_ACTIVITY_MATCHED,892,776,50.22,50.64,-0.42,2/4,False,False,52.63,46.41,53.51,49.66
NONPOC,low,60,C01_NEUTRAL,874,865,50.34,52.72,-2.38,4/4,True,False,50.38,44.78,54.55,51.55
NONPOC,low,60,C02_ACTIVITY_MATCHED,874,759,50.34,52.83,-2.49,3/4,True,False,50.38,44.78,54.55,51.55
NONPOC,medium,15,C01_NEUTRAL,398,389,47.49,45.50,1.99,2/4,False,False,41.07,46.72,50.00,49.19
NONPOC,medium,15,C02_ACTIVITY_MATCHED,398,372,47.49,44.62,2.87,2/4,False,False,41.07,46.72,50.00,49.19
NONPOC,medium,30,C01_NEUTRAL,395,387,47.59,46.77,0.82,2/4,False,False,50.00,47.50,48.42,45.97
NONPOC,medium,30,C02_ACTIVITY_MATCHED,395,368,47.59,51.09,-3.50,3/4,True,False,50.00,47.50,48.42,45.97
NONPOC,medium,60,C01_NEUTRAL,389,382,49.36,46.60,2.76,2/4,False,False,51.79,51.26,49.46,46.28
NONPOC,medium,60,C02_ACTIVITY_MATCHED,389,361,49.36,52.91,-3.55,4/4,True,False,51.79,51.26,49.46,46.28
NONPOC,high,15,C01_NEUTRAL,77,82,46.75,51.22,-4.47,4/4,True,False,36.36,42.11,47.83,54.17
NONPOC,high,15,C02_ACTIVITY_MATCHED,77,76,46.75,60.53,-13.78,4/4,True,False,36.36,42.11,47.83,54.17
NONPOC,high,30,C01_NEUTRAL,77,82,42.86,50.00,-7.14,4/4,True,False,45.45,36.84,34.78,54.17
NONPOC,high,30,C02_ACTIVITY_MATCHED,77,75,42.86,57.33,-14.47,4/4,True,False,45.45,36.84,34.78,54.17
NONPOC,high,60,C01_NEUTRAL,77,82,46.75,54.88,-8.13,4/4,True,False,45.45,42.11,34.78,62.50
NONPOC,high,60,C02_ACTIVITY_MATCHED,77,75,46.75,60.00,-13.25,4/4,True,False,45.45,42.11,34.78,62.50
POC,low,15,C01_NEUTRAL,1937,1875,50.59,50.35,0.24,2/4,False,False,49.57,46.84,53.47,52.59
POC,low,15,C02_ACTIVITY_MATCHED,1937,1381,50.59,50.25,0.34,2/4,False,False,49.57,46.84,53.47,52.59
POC,low,30,C01_NEUTRAL,1931,1872,50.28,50.16,0.12,3/4,True,False,53.15,47.82,51.09,49.24
POC,low,30,C02_ACTIVITY_MATCHED,1931,1373,50.28,48.94,1.34,2/4,False,False,53.15,47.82,51.09,49.24
POC,low,60,C01_NEUTRAL,1908,1851,51.21,51.76,-0.55,3/4,True,False,50.54,48.48,54.33,51.42
POC,low,60,C02_ACTIVITY_MATCHED,1908,1352,51.21,48.96,2.25,3/4,True,False,50.54,48.48,54.33,51.42
POC,medium,15,C01_NEUTRAL,967,1023,52.74,48.68,4.06,4/4,True,False,49.80,55.85,56.15,48.28
POC,medium,15,C02_ACTIVITY_MATCHED,967,685,52.74,50.80,1.94,3/4,True,False,49.80,55.85,56.15,48.28
POC,medium,30,C01_NEUTRAL,966,1022,51.35,48.92,2.43,3/4,True,False,50.39,52.83,50.41,51.72
POC,medium,30,C02_ACTIVITY_MATCHED,966,685,51.35,48.61,2.74,4/4,True,False,50.39,52.83,50.41,51.72
POC,medium,60,C01_NEUTRAL,956,1012,52.62,51.28,1.34,2/4,False,False,47.83,56.92,49.58,56.65
POC,medium,60,C02_ACTIVITY_MATCHED,956,680,52.62,51.91,0.71,3/4,True,False,47.83,56.92,49.58,56.65
POC,high,15,C01_NEUTRAL,229,217,55.02,56.68,-1.66,2/4,False,False,57.14,51.52,45.45,64.29
POC,high,15,C02_ACTIVITY_MATCHED,229,155,55.02,55.48,-0.46,2/4,False,False,57.14,51.52,45.45,64.29
POC,high,30,C01_NEUTRAL,229,217,54.15,55.76,-1.61,2/4,False,False,61.90,46.97,43.18,62.50
POC,high,30,C02_ACTIVITY_MATCHED,229,155,54.15,56.77,-2.62,3/4,True,False,61.90,46.97,43.18,62.50
POC,high,60,C01_NEUTRAL,228,216,56.14,56.48,-0.34,2/4,False,False,58.73,50.77,50.00,64.29
POC,high,60,C02_ACTIVITY_MATCHED,228,152,56.14,53.95,2.19,3/4,True,False,58.73,50.77,50.00,64.29
