population,volume,displacement,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
NONPOC,below_normal,0.5_1.0,15,C01_NEUTRAL,9,6,66.67,16.67,50.00,2/4,False,True,100.00,0.00,66.67,75.00
NONPOC,below_normal,0.5_1.0,15,C02_ACTIVITY_MATCHED,9,2,66.67,50.00,16.67,0/4,False,True,100.00,0.00,66.67,75.00
NONPOC,below_normal,0.5_1.0,30,C01_NEUTRAL,9,6,55.56,33.33,22.23,1/4,False,True,100.00,0.00,66.67,50.00
NONPOC,below_normal,0.5_1.0,30,C02_ACTIVITY_MATCHED,9,2,55.56,50.00,5.56,0/4,False,True,100.00,0.00,66.67,50.00
NONPOC,below_normal,0.5_1.0,60,C01_NEUTRAL,9,6,55.56,16.67,38.89,2/4,False,True,100.00,0.00,66.67,50.00
NONPOC,below_normal,0.5_1.0,60,C02_ACTIVITY_MATCHED,9,2,55.56,50.00,5.56,0/4,False,True,100.00,0.00,66.67,50.00
NONPOC,below_normal,1.0_1.5,15,C01_NEUTRAL,20,15,30.00,26.67,3.33,2/4,False,True,50.00,16.67,33.33,25.00
NONPOC,below_normal,1.0_1.5,15,C02_ACTIVITY_MATCHED,20,9,30.00,44.44,-14.44,3/4,False,True,50.00,16.67,33.33,25.00
NONPOC,below_normal,1.0_1.5,30,C01_NEUTRAL,20,15,30.00,40.00,-10.00,2/4,False,True,50.00,16.67,33.33,25.00
NONPOC,below_normal,1.0_1.5,30,C02_ACTIVITY_MATCHED,20,9,30.00,55.56,-25.56,3/4,False,True,50.00,16.67,33.33,25.00
NONPOC,below_normal,1.0_1.5,60,C01_NEUTRAL,20,15,45.00,66.67,-21.67,3/4,False,True,50.00,50.00,33.33,50.00
NONPOC,below_normal,1.0_1.5,60,C02_ACTIVITY_MATCHED,20,9,45.00,66.67,-21.67,4/4,False,True,50.00,50.00,33.33,50.00
NONPOC,below_normal,gt_1.5,15,C01_NEUTRAL,702,704,52.56,51.14,1.42,2/4,False,False,56.52,52.76,55.81,48.54
NONPOC,below_normal,gt_1.5,15,C02_ACTIVITY_MATCHED,702,632,52.56,52.06,0.50,3/4,True,False,56.52,52.76,55.81,48.54
NONPOC,below_normal,gt_1.5,30,C01_NEUTRAL,700,701,49.14,48.64,0.50,3/4,True,False,47.83,47.98,53.80,47.28
NONPOC,below_normal,gt_1.5,30,C02_ACTIVITY_MATCHED,700,628,49.14,49.68,-0.54,3/4,True,False,47.83,47.98,53.80,47.28
NONPOC,below_normal,gt_1.5,60,C01_NEUTRAL,692,693,48.27,49.06,-0.79,2/4,False,False,51.09,43.81,50.60,49.16
NONPOC,below_normal,gt_1.5,60,C02_ACTIVITY_MATCHED,692,620,48.27,53.39,-5.12,3/4,True,False,51.09,43.81,50.60,49.16
NONPOC,normal,lt_0.5,15,C02_ACTIVITY_MATCHED,1,1,100.00,0.00,100.00,1/4,False,True,,,100.00,
NONPOC,normal,lt_0.5,30,C02_ACTIVITY_MATCHED,1,1,100.00,0.00,100.00,1/4,False,True,,,100.00,
NONPOC,normal,lt_0.5,60,C02_ACTIVITY_MATCHED,1,1,100.00,0.00,100.00,1/4,False,True,,,100.00,
NONPOC,normal,1.0_1.5,15,C01_NEUTRAL,3,3,66.67,100.00,-33.33,0/4,False,True,100.00,0.00,100.00,
NONPOC,normal,1.0_1.5,15,C02_ACTIVITY_MATCHED,3,7,66.67,57.14,9.53,1/4,False,True,100.00,0.00,100.00,
NONPOC,normal,1.0_1.5,30,C01_NEUTRAL,3,3,66.67,100.00,-33.33,0/4,False,True,100.00,0.00,100.00,
NONPOC,normal,1.0_1.5,30,C02_ACTIVITY_MATCHED,3,7,66.67,71.43,-4.76,0/4,False,True,100.00,0.00,100.00,
NONPOC,normal,1.0_1.5,60,C01_NEUTRAL,3,3,33.33,66.67,-33.34,0/4,False,True,0.00,0.00,100.00,
NONPOC,normal,1.0_1.5,60,C02_ACTIVITY_MATCHED,3,7,33.33,42.86,-9.53,0/4,False,True,0.00,0.00,100.00,
NONPOC,normal,gt_1.5,15,C01_NEUTRAL,280,269,43.93,44.98,-1.05,1/4,False,False,44.00,36.00,46.38,48.84
NONPOC,normal,gt_1.5,15,C02_ACTIVITY_MATCHED,280,247,43.93,39.68,4.25,2/4,False,False,44.00,36.00,46.38,48.84
NONPOC,normal,gt_1.5,30,C01_NEUTRAL,279,266,51.25,53.01,-1.76,3/4,True,False,62.00,44.59,46.38,54.65
NONPOC,normal,gt_1.5,30,C02_ACTIVITY_MATCHED,279,243,51.25,51.85,-0.60,2/4,False,False,62.00,44.59,46.38,54.65
NONPOC,normal,gt_1.5,60,C01_NEUTRAL,275,264,48.00,51.89,-3.89,3/4,True,False,50.00,44.59,45.59,51.81
NONPOC,normal,gt_1.5,60,C02_ACTIVITY_MATCHED,275,241,48.00,47.72,0.28,2/4,False,False,50.00,44.59,45.59,51.81
NONPOC,elevated,0.5_1.0,15,C01_NEUTRAL,1,2,0.00,0.00,0.00,0/4,False,True,,,0.00,
NONPOC,elevated,0.5_1.0,30,C01_NEUTRAL,1,2,0.00,0.00,0.00,0/4,False,True,,,0.00,
NONPOC,elevated,0.5_1.0,60,C01_NEUTRAL,1,2,0.00,0.00,0.00,0/4,False,True,,,0.00,
NONPOC,elevated,1.0_1.5,15,C01_NEUTRAL,1,1,0.00,100.00,-100.00,0/4,False,True,,,,0.00
NONPOC,elevated,1.0_1.5,15,C02_ACTIVITY_MATCHED,1,3,0.00,33.33,-33.33,1/4,False,True,,,,0.00
NONPOC,elevated,1.0_1.5,30,C01_NEUTRAL,1,1,100.00,100.00,0.00,0/4,False,True,,,,100.00
