population,volume,displacement,efficiency,horizon_bars,control_arm,treated_events,control_events,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent,underpowered,treated_2019,treated_2021,treated_2023,treated_2025
NONPOC,below_normal,0.5_1.0,low,15,C01_NEUTRAL,5,5,60.00,20.00,40.00,1/4,False,True,,0.00,50.00,100.00
NONPOC,below_normal,0.5_1.0,low,15,C02_ACTIVITY_MATCHED,5,2,60.00,50.00,10.00,0/4,False,True,,0.00,50.00,100.00
NONPOC,below_normal,0.5_1.0,low,30,C01_NEUTRAL,5,5,40.00,40.00,0.00,0/4,False,True,,0.00,50.00,50.00
NONPOC,below_normal,0.5_1.0,low,30,C02_ACTIVITY_MATCHED,5,2,40.00,50.00,-10.00,1/4,False,True,,0.00,50.00,50.00
NONPOC,below_normal,0.5_1.0,low,60,C01_NEUTRAL,5,5,40.00,20.00,20.00,2/4,False,True,,0.00,50.00,50.00
NONPOC,below_normal,0.5_1.0,low,60,C02_ACTIVITY_MATCHED,5,2,40.00,50.00,-10.00,1/4,False,True,,0.00,50.00,50.00
NONPOC,below_normal,0.5_1.0,medium,15,C01_NEUTRAL,4,1,75.00,0.00,75.00,1/4,False,True,100.00,,100.00,50.00
NONPOC,below_normal,0.5_1.0,medium,30,C01_NEUTRAL,4,1,75.00,0.00,75.00,1/4,False,True,100.00,,100.00,50.00
NONPOC,below_normal,0.5_1.0,medium,60,C01_NEUTRAL,4,1,75.00,0.00,75.00,1/4,False,True,100.00,,100.00,50.00
NONPOC,below_normal,1.0_1.5,low,15,C01_NEUTRAL,17,11,29.41,9.09,20.32,3/4,False,True,33.33,20.00,33.33,33.33
NONPOC,below_normal,1.0_1.5,low,15,C02_ACTIVITY_MATCHED,17,7,29.41,42.86,-13.45,2/4,False,True,33.33,20.00,33.33,33.33
NONPOC,below_normal,1.0_1.5,low,30,C01_NEUTRAL,17,11,23.53,36.36,-12.83,2/4,False,True,33.33,0.00,33.33,33.33
NONPOC,below_normal,1.0_1.5,low,30,C02_ACTIVITY_MATCHED,17,7,23.53,42.86,-19.33,2/4,False,True,33.33,0.00,33.33,33.33
NONPOC,below_normal,1.0_1.5,low,60,C01_NEUTRAL,17,11,41.18,54.55,-13.37,1/4,False,True,33.33,40.00,33.33,66.67
NONPOC,below_normal,1.0_1.5,low,60,C02_ACTIVITY_MATCHED,17,7,41.18,57.14,-15.96,3/4,False,True,33.33,40.00,33.33,66.67
