population,displacement_quartile,horizon_bars,treated_events,control_events,treated_median_displacement_atr,treated_continued_pct,control_continued_pct,difference_pp,full_years_agreeing,consistent
NONPOC,Q1_smallest,15,345,303,3.17,51.88,48.51,3.37,2/4,False
NONPOC,Q1_smallest,30,343,298,3.17,48.10,54.36,-6.26,3/4,True
NONPOC,Q1_smallest,60,334,296,3.16,48.50,53.72,-5.22,3/4,True
NONPOC,Q2,15,357,309,7.42,50.70,48.22,2.48,2/4,False
NONPOC,Q2,30,353,304,7.42,51.27,51.32,-0.05,2/4,False
NONPOC,Q2,60,348,294,7.42,52.59,54.76,-2.17,3/4,True
NONPOC,Q3,15,336,310,12.44,49.40,47.10,2.30,2/4,False
NONPOC,Q3,30,336,309,12.44,50.00,48.54,1.46,3/4,True
NONPOC,Q3,60,328,300,12.48,50.61,53.33,-2.72,3/4,True
NONPOC,Q4_largest,15,332,308,23.30,49.10,50.00,-0.90,2/4,False
NONPOC,Q4_largest,30,332,308,23.30,46.69,50.65,-3.96,4/4,True
NONPOC,Q4_largest,60,330,305,23.30,47.58,51.48,-3.90,3/4,True
POC,Q1_smallest,15,827,550,3.92,48.73,47.45,1.28,3/4,True
POC,Q1_smallest,30,822,544,3.92,50.97,48.35,2.62,3/4,True
POC,Q1_smallest,60,805,530,3.90,50.93,49.25,1.68,3/4,True
POC,Q2,15,791,557,8.87,53.22,49.91,3.31,3/4,True
POC,Q2,30,789,555,8.88,52.09,49.55,2.54,2/4,False
POC,Q2,60,782,548,8.88,51.79,47.81,3.98,4/4,True
POC,Q3,15,771,556,16.64,52.01,54.14,-2.13,3/4,True
POC,Q3,30,771,556,16.64,49.55,51.44,-1.89,2/4,False
POC,Q3,60,762,551,16.69,51.31,52.99,-1.68,3/4,True
POC,Q4_largest,15,744,558,32.23,52.55,51.61,0.94,2/4,False
POC,Q4_largest,30,744,558,32.23,50.94,48.21,2.73,3/4,True
POC,Q4_largest,60,743,555,32.23,54.10,50.81,3.29,3/4,True
