anchor,approach_side,arm,continued,continued_pct,evaluated_events,horizon_minutes,population,returned_inside,returned_inside_pct,session,threshold,underpowered
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,25,35.71,70,15,NONPOC,61,87.14,ALL_SESSIONS,3atr,false
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,6,50,12,15,NONPOC,11,91.67,ETH_EVENING,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,3,50,6,15,NONPOC,5,83.33,ETH_OVERNIGHT,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,100,1,15,NONPOC,1,100,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,11.11,9,15,NONPOC,7,77.78,RTH_MIDDAY,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,4,30.77,13,15,NONPOC,11,84.62,RTH_MORNING,3atr,true
ALL_ANCHORS,APPROACH_FROM_ABOVE,C01_NEUTRAL,10,34.48,29,15,NONPOC,26,89.66,RTH_OPEN,3atr,true
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,9,50,18,15,NONPOC,16,88.89,ALL_SESSIONS,3atr,true
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,6,50,12,15,NONPOC,11,91.67,ETH_EVENING,3atr,true
R01,APPROACH_FROM_ABOVE,C01_NEUTRAL,3,50,6,15,NONPOC,5,83.33,ETH_OVERNIGHT,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,4,28.57,14,15,NONPOC,11,78.57,ALL_SESSIONS,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,33.33,3,15,NONPOC,1,33.33,RTH_MIDDAY,3atr,true
R02,APPROACH_FROM_ABOVE,C01_NEUTRAL,1,25,4,15,NONPOC,4,100,RTH_MORNING,3atr,true
