anchor,arm,bars_11-20_pct,bars_121+_pct,bars_1_pct,bars_21-60_pct,bars_2_pct,bars_3_pct,bars_4_pct,bars_5_pct,bars_6-10_pct,bars_61-120_pct,censored,censored_pct,events,median_bars,never_reached,never_reached_pct,p90_bars,population,reached,reached_pct,session,threshold,underpowered
ALL_ANCHORS,C01_NEUTRAL,6.76,8.73,25.35,11.83,10.14,7.04,8.17,5.63,10.99,3.94,5,1.41,355,4,0,0,99,NONPOC,350,98.59,ALL_SESSIONS,3atr,false
ALL_ANCHORS,C01_NEUTRAL,4,52,6,12,0,4,2,2,0,18,0,0,50,130,0,0,435,NONPOC,50,100,ETH_EVENING,3atr,false
ALL_ANCHORS,C01_NEUTRAL,0,11.76,17.65,41.18,2.94,0,0,0,8.82,11.76,2,5.88,34,34,0,0,82,NONPOC,32,94.12,ETH_OVERNIGHT,3atr,false
ALL_ANCHORS,C01_NEUTRAL,0,0,0,0,0,0,0,0,0,0,1,100,1,,0,0,,NONPOC,0,0,OUT_OF_SESSION,3atr,true
ALL_ANCHORS,C01_NEUTRAL,14.29,0,19.05,0,4.76,19.05,14.29,4.76,14.29,0,2,9.52,21,4,0,0,12,NONPOC,19,90.48,RTH_AFTERNOON,3atr,true
ALL_ANCHORS,C01_NEUTRAL,14.81,0,7.41,37.04,7.41,3.7,3.7,11.11,11.11,3.7,0,0,27,16,0,0,35,NONPOC,27,100,RTH_MIDDAY,3atr,true
ALL_ANCHORS,C01_NEUTRAL,11.11,1.11,15.56,12.22,12.22,10,10,13.33,14.44,0,0,0,90,5,0,0,25,NONPOC,90,100,RTH_MORNING,3atr,false
ALL_ANCHORS,C01_NEUTRAL,3.79,0,46.21,0.76,15.91,6.82,11.36,2.27,12.88,0,0,0,132,2,0,0,8,NONPOC,132,100,RTH_OPEN,3atr,false
R01,C01_NEUTRAL,2.38,35.71,10.71,23.81,1.19,2.38,1.19,1.19,3.57,15.48,2,2.38,84,69,0,0,331,NONPOC,82,97.62,ALL_SESSIONS,3atr,false
R01,C01_NEUTRAL,4,52,6,12,0,4,2,2,0,18,0,0,50,130,0,0,435,NONPOC,50,100,ETH_EVENING,3atr,false
R01,C01_NEUTRAL,0,11.76,17.65,41.18,2.94,0,0,0,8.82,11.76,2,5.88,34,34,0,0,82,NONPOC,32,94.12,ETH_OVERNIGHT,3atr,false
