anchor,arm,censored,censored_pct,eligible_events,left_envelope,mean_minutes_inside,median_minutes_inside,p25_minutes,p75_minutes,p90_minutes,population,session,underpowered
ALL_ANCHORS,C01_NEUTRAL,0,0,133,132,19.5,4,1,16,44,NONPOC,ALL_SESSIONS,false
ALL_ANCHORS,C01_NEUTRAL,0,0,22,22,68.1,68,11,90,145,NONPOC,ETH_EVENING,true
ALL_ANCHORS,C01_NEUTRAL,0,0,12,12,44.5,20,1,32,44,NONPOC,ETH_OVERNIGHT,true
ALL_ANCHORS,C01_NEUTRAL,0,0,1,0,,,,,,NONPOC,RTH_AFTERNOON,true
ALL_ANCHORS,C01_NEUTRAL,0,0,10,10,5.1,5,2,6,9,NONPOC,RTH_MIDDAY,true
ALL_ANCHORS,C01_NEUTRAL,0,0,37,37,7.5,4,2,10,21,NONPOC,RTH_MORNING,false
ALL_ANCHORS,C01_NEUTRAL,0,0,51,51,4,1,0,3,11,NONPOC,RTH_OPEN,false
R01,C01_NEUTRAL,0,0,34,34,59.8,32,9,78,145,NONPOC,ALL_SESSIONS,false
R01,C01_NEUTRAL,0,0,22,22,68.1,68,11,90,145,NONPOC,ETH_EVENING,true
R01,C01_NEUTRAL,0,0,12,12,44.5,20,1,32,44,NONPOC,ETH_OVERNIGHT,true
R02,C01_NEUTRAL,0,0,13,13,12.3,10,1,19,25,NONPOC,ALL_SESSIONS,true
R02,C01_NEUTRAL,0,0,1,1,3,3,3,3,3,NONPOC,RTH_MIDDAY,true
R02,C01_NEUTRAL,0,0,12,12,13.1,11,1,19,25,NONPOC,RTH_OPEN,true
R03,C01_NEUTRAL,0,0,38,37,3.3,2,0,4,7,NONPOC,ALL_SESSIONS,false
R03,C01_NEUTRAL,0,0,1,0,,,,,,NONPOC,RTH_AFTERNOON,true
R03,C01_NEUTRAL,0,0,4,4,5.2,7,2,7,7,NONPOC,RTH_MIDDAY,true
R03,C01_NEUTRAL,0,0,9,9,6.7,4,2,7,10,NONPOC,RTH_MORNING,true
R03,C01_NEUTRAL,0,0,24,24,1.8,1,0,3,4,NONPOC,RTH_OPEN,true
R04,C01_NEUTRAL,0,0,24,24,1.8,0,0,2,4,NONPOC,ALL_SESSIONS,true
R04,C01_NEUTRAL,0,0,2,2,7.5,13,2,2,2,NONPOC,RTH_MIDDAY,true
R04,C01_NEUTRAL,0,0,7,7,3.1,2,0,4,6,NONPOC,RTH_MORNING,true
R04,C01_NEUTRAL,0,0,15,15,0.5,0,0,1,1,NONPOC,RTH_OPEN,true
R05,C01_NEUTRAL,0,0,24,24,8.7,4,2,12,21,NONPOC,ALL_SESSIONS,true
R05,C01_NEUTRAL,0,0,3,3,4,5,1,5,5,NONPOC,RTH_MIDDAY,true
R05,C01_NEUTRAL,0,0,21,21,9.4,4,3,16,23,NONPOC,RTH_MORNING,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,141,140,17.4,3,0,14,59,NONPOC,ALL_SESSIONS,false
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,18,18,49.7,43,11,60,80,NONPOC,ETH_EVENING,true
ALL_ANCHORS,C02_ACTIVITY_MATCHED,0,0,15,15,65.1,54,7,89,91,NONPOC,ETH_OVERNIGHT,true
