anchor,arm,intervals,median_minutes_to_first_touch,population,retouches,total_touches,touch_rate_pct,touched,touches_per_touched_interval,underpowered,untouched
ALL_ANCHORS,C01_NEUTRAL,351,7,NONPOC,1751,1977,64.39,226,8.75,false,125
R01,C01_NEUTRAL,67,153,NONPOC,436,475,58.21,39,12.18,false,28
R02,C01_NEUTRAL,67,5,NONPOC,164,191,40.3,27,7.07,true,40
R03,C01_NEUTRAL,98,11,NONPOC,581,655,75.51,74,8.85,false,24
R04,C01_NEUTRAL,80,4,NONPOC,344,398,67.5,54,7.37,false,26
R05,C01_NEUTRAL,39,3,NONPOC,226,258,82.05,32,8.06,false,7
ALL_ANCHORS,C02_ACTIVITY_MATCHED,337,6,NONPOC,1677,1895,64.69,218,8.69,false,119
R01,C02_ACTIVITY_MATCHED,66,123,NONPOC,504,545,62.12,41,13.29,false,25
R02,C02_ACTIVITY_MATCHED,66,5,NONPOC,154,184,45.45,30,6.13,false,36
R03,C02_ACTIVITY_MATCHED,91,6,NONPOC,498,566,74.73,68,8.32,false,23
R04,C02_ACTIVITY_MATCHED,76,3,NONPOC,336,388,68.42,52,7.46,false,24
R05,C02_ACTIVITY_MATCHED,38,6,NONPOC,185,212,71.05,27,7.85,true,11
ALL_ANCHORS,TREATED,351,7,NONPOC,1703,1932,65.24,229,8.44,false,122
R01,TREATED,67,281,NONPOC,407,445,56.72,38,11.71,false,29
R02,TREATED,67,3,NONPOC,168,199,46.27,31,6.42,false,36
R03,TREATED,98,11,NONPOC,554,629,76.53,75,8.39,false,23
R04,TREATED,80,4,NONPOC,349,403,67.5,54,7.46,false,26
R05,TREATED,39,2,NONPOC,225,256,79.49,31,8.26,false,8
ALL_ANCHORS,C01_NEUTRAL,376,4,POC,2003,2261,68.62,258,8.76,false,118
R01,C01_NEUTRAL,69,37,POC,561,603,60.87,42,14.36,false,27
R02,C01_NEUTRAL,69,5,POC,214,247,47.83,33,7.48,false,36
R03,C01_NEUTRAL,91,1,POC,453,518,71.43,65,7.97,false,26
R04,C01_NEUTRAL,93,0,POC,519,595,81.72,76,7.83,false,17
R05,C01_NEUTRAL,54,8,POC,256,298,77.78,42,7.1,false,12
ALL_ANCHORS,C02_ACTIVITY_MATCHED,311,4,POC,1587,1799,68.17,212,8.49,false,99
R01,C02_ACTIVITY_MATCHED,58,23,POC,429,463,58.62,34,13.62,false,24
R02,C02_ACTIVITY_MATCHED,58,6,POC,223,251,48.28,28,8.96,true,30
R03,C02_ACTIVITY_MATCHED,74,1,POC,337,389,70.27,52,7.48,false,22
R04,C02_ACTIVITY_MATCHED,77,1,POC,392,455,81.82,63,7.22,false,14
R05,C02_ACTIVITY_MATCHED,44,5,POC,206,241,79.55,35,6.89,false,9
ALL_ANCHORS,TREATED,376,3,POC,1989,2249,69.15,260,8.65,false,116
R01,TREATED,69,30,POC,579,620,59.42,41,15.12,false,28
R02,TREATED,69,5,POC,220,254,49.28,34,7.47,false,35
R03,TREATED,91,1,POC,451,518,73.63,67,7.73,false,24
R04,TREATED,93,1,POC,481,558,82.8,77,7.25,false,16
R05,TREATED,54,1,POC,258,299,75.93,41,7.29,false,13
