node_class,excursion_atr,treated_n,control_n,treated_reaching_pct,control_reaching_pct,difference_pp,years_agreeing
LOW_VOLUME_NODE,0.25,3061,3184,100.000,100.000,0.000,0/4
LOW_VOLUME_NODE,0.5,3061,3184,100.000,100.000,0.000,0/4
LOW_VOLUME_NODE,0.75,3061,3184,99.935,99.969,-0.034,1/4
LOW_VOLUME_NODE,1,3061,3184,99.837,99.623,0.214,2/4
LOW_VOLUME_NODE,1.25,3061,3184,99.608,99.278,0.330,3/4
LOW_VOLUME_NODE,1.5,3061,3184,99.151,98.618,0.533,3/4
LOW_VOLUME_NODE,1.75,3061,3184,98.171,98.116,0.055,2/4
LOW_VOLUME_NODE,2,3061,3184,97.354,96.985,0.369,2/4
LOW_VOLUME_NODE,2.25,3061,3184,96.504,95.760,0.744,2/4
LOW_VOLUME_NODE,2.5,3061,3184,94.446,94.127,0.319,3/4
LOW_VOLUME_NODE,2.75,3061,3184,92.388,92.274,0.114,3/4
LOW_VOLUME_NODE,3,3061,3184,90.134,90.201,-0.067,1/4
LOW_VOLUME_NODE,3.25,3061,3184,88.076,88.065,0.010,2/4
LOW_VOLUME_NODE,3.5,3061,3184,85.495,85.427,0.068,2/4
LOW_VOLUME_NODE,3.75,3061,3184,83.469,82.632,0.838,3/4
LOW_VOLUME_NODE,4,3061,3184,80.497,80.182,0.314,3/4
LOW_VOLUME_NODE,4.25,3061,3184,77.426,76.916,0.510,2/4
LOW_VOLUME_NODE,4.5,3061,3184,74.845,74.246,0.599,2/4
LOW_VOLUME_NODE,4.75,3061,3184,72.101,71.482,0.618,2/4
LOW_VOLUME_NODE,5,3061,3184,69.291,68.499,0.792,3/4
LOW_VOLUME_NODE,5.25,3061,3184,66.188,64.981,1.206,3/4
LOW_VOLUME_NODE,5.5,3061,3184,63.313,62.186,1.127,2/4
LOW_VOLUME_NODE,5.75,3061,3184,60.960,59.611,1.350,4/4
LOW_VOLUME_NODE,6,3061,3184,58.510,57.161,1.349,4/4
LOW_VOLUME_NODE,6.25,3061,3184,56.648,54.774,1.874,4/4
LOW_VOLUME_NODE,6.5,3061,3184,54.133,52.732,1.400,4/4
LOW_VOLUME_NODE,6.75,3061,3184,52.695,50.817,1.879,4/4
LOW_VOLUME_NODE,7,3061,3184,50.114,49.089,1.025,3/4
LOW_VOLUME_NODE,7.25,3061,3184,48.252,47.362,0.890,3/4
LOW_VOLUME_NODE,7.5,3061,3184,46.619,45.163,1.455,4/4
LOW_VOLUME_NODE,7.75,3061,3184,44.985,43.436,1.549,4/4
LOW_VOLUME_NODE,8,3061,3184,43.483,41.709,1.774,4/4
LOW_VOLUME_NODE,8.25,3061,3184,41.359,39.793,1.566,4/4
LOW_VOLUME_NODE,8.5,3061,3184,39.856,37.751,2.105,4/4
LOW_VOLUME_NODE,8.75,3061,3184,38.353,35.898,2.455,4/4
LOW_VOLUME_NODE,9,3061,3184,36.622,34.642,1.980,4/4
LOW_VOLUME_NODE,9.25,3061,3184,35.152,33.197,1.955,4/4
LOW_VOLUME_NODE,9.5,3061,3184,33.322,32.098,1.224,4/4
LOW_VOLUME_NODE,9.75,3061,3184,31.199,30.905,0.294,2/4
LOW_VOLUME_NODE,10,3061,3184,29.925,29.617,0.308,2/4
HIGH_VOLUME_NODE,0.25,5867,5914,100.000,100.000,0.000,0/4
HIGH_VOLUME_NODE,0.5,5867,5914,99.932,99.983,-0.051,2/4
HIGH_VOLUME_NODE,0.75,5867,5914,99.881,99.932,-0.052,2/4
HIGH_VOLUME_NODE,1,5867,5914,99.676,99.831,-0.155,3/4
HIGH_VOLUME_NODE,1.25,5867,5914,99.403,99.560,-0.157,4/4
HIGH_VOLUME_NODE,1.5,5867,5914,99.011,99.053,-0.042,3/4
HIGH_VOLUME_NODE,1.75,5867,5914,98.313,98.309,0.003,2/4
HIGH_VOLUME_NODE,2,5867,5914,97.290,97.396,-0.106,3/4
