node_class,percentile,treated_n,control_n,treated_excursion_atr,control_excursion_atr,difference_atr,years_agreeing
LOW_VOLUME_NODE,5,3061,3184,2.471,2.358,0.113,3/4
LOW_VOLUME_NODE,10,3061,3184,3.027,3.019,0.008,2/4
LOW_VOLUME_NODE,15,3061,3184,3.566,3.528,0.038,3/4
LOW_VOLUME_NODE,20,3061,3184,4.035,4.024,0.011,3/4
LOW_VOLUME_NODE,25,3061,3184,4.476,4.443,0.033,3/4
LOW_VOLUME_NODE,30,3061,3184,4.923,4.882,0.041,3/4
LOW_VOLUME_NODE,35,3061,3184,5.390,5.245,0.145,3/4
LOW_VOLUME_NODE,40,3061,3184,5.835,5.711,0.124,3/4
LOW_VOLUME_NODE,45,3061,3184,6.398,6.231,0.167,4/4
LOW_VOLUME_NODE,50,3061,3184,7.016,6.865,0.151,4/4
LOW_VOLUME_NODE,55,3061,3184,7.748,7.515,0.232,4/4
LOW_VOLUME_NODE,60,3061,3184,8.471,8.233,0.238,4/4
LOW_VOLUME_NODE,65,3061,3184,9.283,8.917,0.366,4/4
LOW_VOLUME_NODE,70,3061,3184,9.982,9.943,0.039,3/4
LOW_VOLUME_NODE,75,3061,3184,11.077,10.892,0.185,3/4
LOW_VOLUME_NODE,80,3061,3184,12.258,12.158,0.100,4/4
LOW_VOLUME_NODE,85,3061,3184,13.857,13.693,0.164,3/4
LOW_VOLUME_NODE,90,3061,3184,16.385,16.046,0.339,2/4
LOW_VOLUME_NODE,95,3061,3184,20.299,20.396,-0.097,2/4
HIGH_VOLUME_NODE,5,5867,5914,2.428,2.450,-0.022,2/4
HIGH_VOLUME_NODE,10,5867,5914,2.997,3.067,-0.070,3/4
HIGH_VOLUME_NODE,15,5867,5914,3.471,3.568,-0.097,4/4
HIGH_VOLUME_NODE,20,5867,5914,3.977,4.008,-0.032,2/4
HIGH_VOLUME_NODE,25,5867,5914,4.449,4.473,-0.024,3/4
HIGH_VOLUME_NODE,30,5867,5914,4.912,4.956,-0.044,4/4
HIGH_VOLUME_NODE,35,5867,5914,5.348,5.449,-0.101,3/4
HIGH_VOLUME_NODE,40,5867,5914,5.834,5.940,-0.106,3/4
HIGH_VOLUME_NODE,45,5867,5914,6.327,6.479,-0.152,4/4
HIGH_VOLUME_NODE,50,5867,5914,6.952,7.047,-0.095,3/4
HIGH_VOLUME_NODE,55,5867,5914,7.557,7.696,-0.139,3/4
HIGH_VOLUME_NODE,60,5867,5914,8.281,8.426,-0.146,4/4
HIGH_VOLUME_NODE,65,5867,5914,9.022,9.259,-0.237,4/4
HIGH_VOLUME_NODE,70,5867,5914,9.954,10.163,-0.209,4/4
HIGH_VOLUME_NODE,75,5867,5914,11.098,11.263,-0.165,3/4
HIGH_VOLUME_NODE,80,5867,5914,12.304,12.545,-0.240,3/4
HIGH_VOLUME_NODE,85,5867,5914,14.113,14.404,-0.292,2/4
HIGH_VOLUME_NODE,90,5867,5914,16.663,16.918,-0.255,3/4
HIGH_VOLUME_NODE,95,5867,5914,21.774,22.149,-0.375,2/4
