node_class,distance_atr,deadline_bars,treated_rotations,control_rotations,treated_mean_bars_held,control_mean_bars_held,difference,years_agreeing
HIGH_VOLUME_NODE,0.5,3,2915,2970,11.598,11.559,0.039,3/4
HIGH_VOLUME_NODE,1,5,2674,2705,10.199,10.677,-0.478,3/4
HIGH_VOLUME_NODE,2,3,1052,1100,9.595,10.177,-0.582,2/4
HIGH_VOLUME_NODE,2,5,1521,1574,9.310,10.416,-1.106,3/4
HIGH_VOLUME_NODE,3,3,476,497,9.067,10.340,-1.273,2/4
HIGH_VOLUME_NODE,3,10,1445,1515,9.900,10.018,-0.119,2/4
LOW_VOLUME_NODE,0.5,3,2108,2020,11.524,10.992,0.533,2/4
LOW_VOLUME_NODE,1,5,1924,1809,9.955,9.862,0.093,3/4
LOW_VOLUME_NODE,2,3,776,723,9.209,8.263,0.946,3/4
LOW_VOLUME_NODE,2,5,1097,1034,9.286,8.404,0.882,3/4
LOW_VOLUME_NODE,3,3,336,299,8.515,7.538,0.976,3/4
LOW_VOLUME_NODE,3,10,1044,965,8.793,8.304,0.489,3/4
