node_class,excursion_atr,treated_n,control_n,treated_reaching_pct,control_reaching_pct,difference_pp,years_agreeing
HIGH_VOLUME_NODE,1,3319,3329,99.789,99.880,-0.091,2/4
HIGH_VOLUME_NODE,1.5,3319,3329,99.187,99.309,-0.123,3/4
HIGH_VOLUME_NODE,2,3319,3329,97.921,97.657,0.264,2/4
HIGH_VOLUME_NODE,2.5,3319,3329,95.481,95.344,0.137,3/4
HIGH_VOLUME_NODE,3,3319,3329,90.991,91.439,-0.448,3/4
HIGH_VOLUME_NODE,3.5,3319,3329,86.261,86.873,-0.612,3/4
HIGH_VOLUME_NODE,4,3319,3329,81.772,81.646,0.125,2/4
HIGH_VOLUME_NODE,4.5,3319,3329,77.373,76.299,1.074,4/4
HIGH_VOLUME_NODE,5,3319,3329,71.829,71.223,0.606,4/4
HIGH_VOLUME_NODE,5.5,3319,3329,66.707,66.386,0.321,2/4
HIGH_VOLUME_NODE,6,3319,3329,61.735,60.889,0.846,2/4
HIGH_VOLUME_NODE,6.5,3319,3329,57.246,56.323,0.923,2/4
HIGH_VOLUME_NODE,7,3319,3329,53.088,52.118,0.971,3/4
HIGH_VOLUME_NODE,7.5,3319,3329,48.418,48.032,0.386,2/4
HIGH_VOLUME_NODE,8,3319,3329,44.622,44.548,0.074,3/4
HIGH_VOLUME_NODE,8.5,3319,3329,41.669,40.643,1.026,3/4
HIGH_VOLUME_NODE,9,3319,3329,38.475,37.699,0.776,3/4
HIGH_VOLUME_NODE,9.5,3319,3329,35.673,34.995,0.678,2/4
HIGH_VOLUME_NODE,10,3319,3329,33.112,32.022,1.091,4/4
HIGH_VOLUME_NODE,10.5,3319,3329,31.094,29.558,1.535,4/4
HIGH_VOLUME_NODE,11,3319,3329,28.472,27.155,1.317,3/4
LOW_VOLUME_NODE,1,2370,2277,99.873,99.605,0.269,3/4
LOW_VOLUME_NODE,1.5,2370,2277,99.072,98.726,0.345,2/4
LOW_VOLUME_NODE,2,2370,2277,97.468,97.058,0.411,3/4
LOW_VOLUME_NODE,2.5,2370,2277,94.557,94.554,0.003,2/4
LOW_VOLUME_NODE,3,2370,2277,90.127,90.558,-0.431,3/4
LOW_VOLUME_NODE,3.5,2370,2277,85.232,85.815,-0.583,3/4
LOW_VOLUME_NODE,4,2370,2277,80.675,80.808,-0.133,3/4
LOW_VOLUME_NODE,4.5,2370,2277,75.105,74.660,0.446,3/4
LOW_VOLUME_NODE,5,2370,2277,69.620,68.775,0.846,2/4
LOW_VOLUME_NODE,5.5,2370,2277,63.882,62.495,1.387,3/4
LOW_VOLUME_NODE,6,2370,2277,58.945,57.224,1.721,3/4
LOW_VOLUME_NODE,6.5,2370,2277,54.430,52.350,2.081,4/4
LOW_VOLUME_NODE,7,2370,2277,50.169,48.880,1.289,3/4
LOW_VOLUME_NODE,7.5,2370,2277,46.624,44.708,1.917,4/4
LOW_VOLUME_NODE,8,2370,2277,43.376,41.195,2.181,4/4
LOW_VOLUME_NODE,8.5,2370,2277,39.367,37.066,2.301,4/4
LOW_VOLUME_NODE,9,2370,2277,36.160,33.773,2.388,4/4
LOW_VOLUME_NODE,9.5,2370,2277,33.038,31.401,1.637,4/4
LOW_VOLUME_NODE,10,2370,2277,29.831,28.854,0.977,3/4
LOW_VOLUME_NODE,10.5,2370,2277,27.595,25.955,1.640,4/4
LOW_VOLUME_NODE,11,2370,2277,24.768,23.364,1.404,3/4
