node_class,distance_atr,deadline_bars,treated_events,control_events,treated_rotations_per_year,treated_rotated_pct,control_rotated_pct,difference_pp,years_agreeing
HIGH_VOLUME_NODE,0.5,3,3319,3329,729,87.828,89.216,-1.388,3/4
HIGH_VOLUME_NODE,1,5,3319,3329,668,80.566,81.256,-0.689,3/4
HIGH_VOLUME_NODE,2,3,3319,3329,263,31.696,33.043,-1.347,3/4
HIGH_VOLUME_NODE,2,5,3319,3329,380,45.827,47.281,-1.454,3/4
HIGH_VOLUME_NODE,3,3,3319,3329,119,14.342,14.929,-0.588,2/4
HIGH_VOLUME_NODE,3,10,3319,3329,361,43.537,45.509,-1.972,4/4
LOW_VOLUME_NODE,0.5,3,2370,2277,527,88.945,88.713,0.232,2/4
LOW_VOLUME_NODE,1,5,2370,2277,481,81.181,79.447,1.735,3/4
LOW_VOLUME_NODE,2,3,2370,2277,194,32.743,31.752,0.990,3/4
LOW_VOLUME_NODE,2,5,2370,2277,274,46.287,45.411,0.876,3/4
LOW_VOLUME_NODE,3,3,2370,2277,84,14.177,13.131,1.046,4/4
LOW_VOLUME_NODE,3,10,2370,2277,261,44.051,42.380,1.670,3/4
