node_class,distance_atr,deadline_bars,treated_events,control_events,treated_rotated_pct,control_rotated_pct,difference_pp,full_years_agreeing,consistent
HIGH_VOLUME_NODE,0.5,3,5867,5914,87.00,88.40,-1.40,3/4,True
HIGH_VOLUME_NODE,0.5,5,5867,5914,94.60,95.20,-0.60,3/4,True
HIGH_VOLUME_NODE,0.5,10,5867,5914,98.52,98.93,-0.41,4/4,True
HIGH_VOLUME_NODE,1,3,5867,5914,65.89,66.99,-1.10,3/4,True
HIGH_VOLUME_NODE,1,5,5867,5914,79.04,79.83,-0.79,3/4,True
HIGH_VOLUME_NODE,1,10,5867,5914,92.40,92.56,-0.16,2/4,False
HIGH_VOLUME_NODE,2,3,5867,5914,30.07,31.16,-1.09,3/4,True
HIGH_VOLUME_NODE,2,5,5867,5914,43.43,44.83,-1.40,4/4,True
HIGH_VOLUME_NODE,2,10,5867,5914,64.79,66.66,-1.87,4/4,True
HIGH_VOLUME_NODE,3,3,5867,5914,13.04,14.47,-1.43,3/4,True
HIGH_VOLUME_NODE,3,5,5867,5914,21.83,23.61,-1.78,3/4,True
HIGH_VOLUME_NODE,3,10,5867,5914,40.34,42.97,-2.63,4/4,True
LOW_VOLUME_NODE,0.5,3,3061,3184,88.57,88.32,0.25,3/4,True
LOW_VOLUME_NODE,0.5,5,3061,3184,95.85,94.97,0.88,3/4,True
LOW_VOLUME_NODE,0.5,10,3061,3184,98.92,98.84,0.08,1/4,False
LOW_VOLUME_NODE,1,3,3061,3184,67.23,65.73,1.50,3/4,True
LOW_VOLUME_NODE,1,5,3061,3184,80.53,79.02,1.51,2/4,False
LOW_VOLUME_NODE,1,10,3061,3184,92.39,91.74,0.65,2/4,False
LOW_VOLUME_NODE,2,3,3061,3184,31.85,30.56,1.29,4/4,True
LOW_VOLUME_NODE,2,5,3061,3184,44.95,44.44,0.51,2/4,False
LOW_VOLUME_NODE,2,10,3061,3184,66.87,64.07,2.80,4/4,True
LOW_VOLUME_NODE,3,3,3061,3184,13.62,12.41,1.21,4/4,True
LOW_VOLUME_NODE,3,5,3061,3184,23.88,21.73,2.15,3/4,True
LOW_VOLUME_NODE,3,10,3061,3184,43.52,41.49,2.03,4/4,True
