node_class,distance_atr,deadline_bars,sustain_bars,treated_rotations,control_rotations,treated_sustained_pct,control_sustained_pct,difference_pp,full_years_agreeing,consistent
HIGH_VOLUME_NODE,0.5,3,5,5104,5228,56.54,57.19,-0.65,3/4,True
HIGH_VOLUME_NODE,0.5,3,10,5104,5228,53.66,55.07,-1.41,4/4,True
HIGH_VOLUME_NODE,0.5,3,20,5104,5228,53.21,54.63,-1.42,4/4,True
HIGH_VOLUME_NODE,0.5,5,5,5550,5630,56.27,57.41,-1.14,3/4,True
HIGH_VOLUME_NODE,0.5,5,10,5550,5630,53.64,55.24,-1.60,4/4,True
HIGH_VOLUME_NODE,0.5,5,20,5550,5630,53.15,54.65,-1.50,4/4,True
HIGH_VOLUME_NODE,0.5,10,5,5780,5851,56.26,57.37,-1.11,3/4,True
HIGH_VOLUME_NODE,0.5,10,10,5780,5851,53.84,55.22,-1.38,4/4,True
HIGH_VOLUME_NODE,0.5,10,20,5780,5851,53.15,54.49,-1.34,4/4,True
HIGH_VOLUME_NODE,1,3,5,3866,3962,53.34,54.69,-1.35,4/4,True
HIGH_VOLUME_NODE,1,3,10,3866,3962,51.09,53.43,-2.34,4/4,True
HIGH_VOLUME_NODE,1,3,20,3866,3962,52.04,52.40,-0.36,2/4,False
HIGH_VOLUME_NODE,1,5,5,4637,4721,53.22,54.90,-1.68,4/4,True
HIGH_VOLUME_NODE,1,5,10,4637,4721,51.26,53.31,-2.05,4/4,True
HIGH_VOLUME_NODE,1,5,20,4637,4721,51.89,52.40,-0.51,2/4,False
HIGH_VOLUME_NODE,1,10,5,5421,5474,53.53,54.91,-1.38,3/4,True
HIGH_VOLUME_NODE,1,10,10,5421,5474,51.76,53.47,-1.71,4/4,True
HIGH_VOLUME_NODE,1,10,20,5421,5474,51.85,52.34,-0.49,2/4,False
HIGH_VOLUME_NODE,2,3,5,1764,1843,50.91,54.15,-3.24,4/4,True
HIGH_VOLUME_NODE,2,3,10,1764,1843,50.74,54.37,-3.63,3/4,True
HIGH_VOLUME_NODE,2,3,20,1764,1843,49.43,52.09,-2.66,4/4,True
HIGH_VOLUME_NODE,2,5,5,2548,2651,51.45,54.24,-2.79,4/4,True
HIGH_VOLUME_NODE,2,5,10,2548,2651,50.63,54.17,-3.54,4/4,True
HIGH_VOLUME_NODE,2,5,20,2548,2651,49.61,52.06,-2.45,4/4,True
