metric,atr_timeframe,tolerance_atr,sessions,low_degree,high_degree,span_observed,span_ci_low,span_ci_high,span_excludes_zero,permutation_p,verdict
mean_excursion_atr,1,0.25,1032,1,4,-0.2105,-0.4033,-0.0164,True,0.0052,SPAN_EXCLUDES_ZERO
rotated_20b_pct,1,0.25,1032,1,4,-2.323,-3.7947,-0.9075,True,0.0002,SPAN_EXCLUDES_ZERO
mean_excursion_atr,1,1,1032,1,4,-0.1708,-0.4448,0.1099,False,0.3462,SPAN_COVERS_ZERO
rotated_20b_pct,1,1,1032,1,4,-2.3497,-4.6013,-0.0828,True,0.0539,SPAN_EXCLUDES_ZERO
mean_excursion_atr,1,2,1032,1,4,-0.6248,-1.1884,-0.0805,True,0.1172,SPAN_EXCLUDES_ZERO
rotated_20b_pct,1,2,1032,1,4,-0.6586,-4.7709,3.5195,False,0.7698,SPAN_COVERS_ZERO
mean_excursion_atr,5,0.25,1032,1,4,0.2116,0.1061,0.3196,True,0.001,SPAN_EXCLUDES_ZERO
rotated_20b_pct,5,0.25,1032,1,4,4.8133,3.6742,5.9644,True,0.0,SPAN_EXCLUDES_ZERO
mean_excursion_atr,5,1,1032,1,4,-0.1944,-0.6549,0.247,False,0.5956,SPAN_COVERS_ZERO
rotated_20b_pct,5,1,1032,1,4,-1.7371,-7.3626,3.4084,False,0.6211,SPAN_COVERS_ZERO
mean_excursion_atr,5,2,,,,,,,,,UNTESTABLE_TOO_FEW_DEGREES
rotated_20b_pct,5,2,,,,,,,,,UNTESTABLE_TOO_FEW_DEGREES
