atr_timeframe,tolerance_atr,degree,events,mean_width_atr,mean_distance_atr,n_2019,n_2021,n_2023,n_2025
1,0.25,1,7313,0.583,0.707,1857,1800,1856,1800
1,0.25,2,6395,0.844,0.650,1541,1609,1637,1608
1,0.25,3,7675,0.938,0.613,1731,1930,1959,2055
1,0.25,4+,10814,1.072,0.596,2496,2802,2895,2621
1,1,1,2128,1.001,1.106,558,509,551,510
1,1,2,2696,1.341,1.076,674,675,632,715
1,1,3,5014,1.474,1.031,1172,1245,1303,1294
1,1,4+,16640,1.635,0.944,3784,4261,4397,4198
1,2,1,576,1.803,2.125,152,148,145,131
1,2,2,939,2.099,2.062,234,219,240,246
1,2,3,2256,2.260,1.840,548,550,564,594
1,2,4+,16637,2.443,1.660,3745,4246,4380,4266
5,0.25,1,4045,0.295,0.360,1057,997,979,1012
5,0.25,2,4683,0.461,0.352,1143,1159,1145,1236
5,0.25,3,7161,0.517,0.326,1646,1859,1787,1869
5,0.25,4+,15475,0.596,0.305,3512,3981,4150,3832
5,1,1,220,0.808,0.901,67,49,53,51
5,1,2,533,1.064,0.808,133,107,144,149
5,1,3,1573,1.165,0.734,354,390,418,411
5,1,4+,17574,1.290,0.642,4036,4529,4537,4472
5,2,1,28,0.846,2.126,7,8,7,6
5,2,2,116,1.677,1.764,19,27,37,33
5,2,3,309,1.926,1.492,71,82,79,77
5,2,4+,13435,2.212,1.077,3051,3491,3485,3408
