metric,atr_timeframe,tolerance_atr,degree,treated_events,control_events,treated,control,difference,years_agreeing,supported
mean_excursion_atr,1,0.25,1,7313,7221,7.826,9.141,-1.316,4/4,True
mean_excursion_atr,1,0.25,2,6395,7221,7.989,9.141,-1.153,4/4,True
mean_excursion_atr,1,0.25,3,7675,7221,7.671,9.141,-1.470,4/4,True
mean_excursion_atr,1,0.25,4+,10814,7221,7.615,9.141,-1.526,4/4,True
mean_excursion_atr,1,1,1,2128,1234,7.789,11.134,-3.345,4/4,True
mean_excursion_atr,1,1,2,2696,1234,8.075,11.134,-3.059,4/4,True
mean_excursion_atr,1,1,3,5014,1234,7.719,11.134,-3.415,4/4,True
mean_excursion_atr,1,1,4+,16640,1234,7.618,11.134,-3.516,4/4,True
mean_excursion_atr,1,2,1,576,350,8.243,12.442,-4.199,4/4,True
mean_excursion_atr,1,2,2,939,350,8.098,12.442,-4.344,4/4,True
mean_excursion_atr,1,2,3,2256,350,8.035,12.442,-4.406,4/4,True
mean_excursion_atr,1,2,4+,16637,350,7.618,12.442,-4.823,4/4,True
mean_excursion_atr,5,0.25,1,4045,3161,3.246,4.698,-1.452,4/4,True
mean_excursion_atr,5,0.25,2,4683,3161,3.605,4.698,-1.093,4/4,True
mean_excursion_atr,5,0.25,3,7161,3161,3.518,4.698,-1.180,4/4,True
mean_excursion_atr,5,0.25,4+,15475,3161,3.457,4.698,-1.241,4/4,True
mean_excursion_atr,5,1,1,220,194,3.764,6.785,-3.021,4/4,True
mean_excursion_atr,5,1,2,533,194,3.819,6.785,-2.966,4/4,True
mean_excursion_atr,5,1,3,1573,194,3.897,6.785,-2.888,4/4,True
mean_excursion_atr,5,1,4+,17574,194,3.569,6.785,-3.216,4/4,True
mean_excursion_atr,5,2,1,28,22,5.054,8.152,-3.099,4/4,False
mean_excursion_atr,5,2,2,116,22,4.080,8.152,-4.072,4/4,False
mean_excursion_atr,5,2,3,309,22,4.916,8.152,-3.236,4/4,False
mean_excursion_atr,5,2,4+,13435,22,3.609,8.152,-4.543,4/4,False
rotated_5b_pct,1,0.25,1,7313,7221,18.665,26.492,-7.827,4/4,True
rotated_5b_pct,1,0.25,2,6395,7221,17.748,26.492,-8.744,4/4,True
rotated_5b_pct,1,0.25,3,7675,7221,17.550,26.492,-8.942,4/4,True
rotated_5b_pct,1,0.25,4+,10814,7221,16.432,26.492,-10.060,4/4,True
rotated_5b_pct,1,1,1,2128,1234,17.810,36.953,-19.143,4/4,True
rotated_5b_pct,1,1,2,2696,1234,17.136,36.953,-19.816,4/4,True
rotated_5b_pct,1,1,3,5014,1234,16.215,36.953,-20.738,4/4,True
rotated_5b_pct,1,1,4+,16640,1234,15.787,36.953,-21.166,4/4,True
rotated_5b_pct,1,2,1,576,350,16.146,41.429,-25.283,4/4,True
rotated_5b_pct,1,2,2,939,350,16.507,41.429,-24.922,4/4,True
rotated_5b_pct,1,2,3,2256,350,16.401,41.429,-25.028,4/4,True
rotated_5b_pct,1,2,4+,16637,350,15.243,41.429,-26.185,4/4,True
rotated_5b_pct,5,0.25,1,4045,3161,1.681,7.941,-6.259,4/4,True
rotated_5b_pct,5,0.25,2,4683,3161,2.434,7.941,-5.506,4/4,True
rotated_5b_pct,5,0.25,3,7161,3161,2.723,7.941,-5.217,4/4,True
rotated_5b_pct,5,0.25,4+,15475,3161,2.837,7.941,-5.104,4/4,True
rotated_5b_pct,5,1,1,220,194,2.727,21.649,-18.922,4/4,True
rotated_5b_pct,5,1,2,533,194,2.627,21.649,-19.023,4/4,True
rotated_5b_pct,5,1,3,1573,194,3.814,21.649,-17.835,4/4,True
rotated_5b_pct,5,1,4+,17574,194,2.925,21.649,-18.725,4/4,True
rotated_5b_pct,5,2,1,28,22,7.143,36.364,-29.221,4/4,False
rotated_5b_pct,5,2,2,116,22,6.034,36.364,-30.329,4/4,False
rotated_5b_pct,5,2,3,309,22,7.120,36.364,-29.244,4/4,False
rotated_5b_pct,5,2,4+,13435,22,3.439,36.364,-32.925,4/4,False
rotated_20b_pct,1,0.25,1,7313,7221,58.389,67.941,-9.552,4/4,True
rotated_20b_pct,1,0.25,2,6395,7221,57.686,67.941,-10.255,4/4,True
rotated_20b_pct,1,0.25,3,7675,7221,56.560,67.941,-11.380,4/4,True
rotated_20b_pct,1,0.25,4+,10814,7221,56.066,67.941,-11.875,4/4,True
rotated_20b_pct,1,1,1,2128,1234,55.733,76.175,-20.442,4/4,True
rotated_20b_pct,1,1,2,2696,1234,55.304,76.175,-20.871,4/4,True
rotated_20b_pct,1,1,3,5014,1234,53.889,76.175,-22.286,4/4,True
rotated_20b_pct,1,1,4+,16640,1234,53.383,76.175,-22.792,4/4,True
rotated_20b_pct,1,2,1,576,350,51.389,80.571,-29.183,4/4,True
rotated_20b_pct,1,2,2,939,350,53.568,80.571,-27.004,4/4,True
rotated_20b_pct,1,2,3,2256,350,52.349,80.571,-28.222,4/4,True
rotated_20b_pct,1,2,4+,16637,350,50.730,80.571,-29.841,4/4,True
rotated_20b_pct,5,0.25,1,4045,3161,10.902,28.662,-17.759,4/4,True
rotated_20b_pct,5,0.25,2,4683,3161,14.969,28.662,-13.693,4/4,True
rotated_20b_pct,5,0.25,3,7161,3161,14.425,28.662,-14.236,4/4,True
rotated_20b_pct,5,0.25,4+,15475,3161,15.716,28.662,-12.946,4/4,True
rotated_20b_pct,5,1,1,220,194,18.182,51.546,-33.365,4/4,True
rotated_20b_pct,5,1,2,533,194,14.447,51.546,-37.100,4/4,True
rotated_20b_pct,5,1,3,1573,194,16.720,51.546,-34.827,4/4,True
rotated_20b_pct,5,1,4+,17574,194,16.445,51.546,-35.102,4/4,True
rotated_20b_pct,5,2,1,28,22,25.000,77.273,-52.273,4/4,False
rotated_20b_pct,5,2,2,116,22,24.138,77.273,-53.135,4/4,False
rotated_20b_pct,5,2,3,309,22,26.861,77.273,-50.412,4/4,False
rotated_20b_pct,5,2,4+,13435,22,16.918,77.273,-60.354,4/4,False
rotated_60b_pct,1,0.25,1,7313,7221,89.703,92.757,-3.054,4/4,True
rotated_60b_pct,1,0.25,2,6395,7221,89.601,92.757,-3.156,4/4,True
rotated_60b_pct,1,0.25,3,7675,7221,88.365,92.757,-4.392,4/4,True
rotated_60b_pct,1,0.25,4+,10814,7221,87.525,92.757,-5.232,4/4,True
rotated_60b_pct,1,1,1,2128,1234,88.534,94.652,-6.118,4/4,True
rotated_60b_pct,1,1,2,2696,1234,88.019,94.652,-6.632,4/4,True
rotated_60b_pct,1,1,3,5014,1234,86.518,94.652,-8.134,4/4,True
rotated_60b_pct,1,1,4+,16640,1234,85.451,94.652,-9.201,4/4,True
rotated_60b_pct,1,2,1,576,350,85.590,96.571,-10.981,4/4,True
rotated_60b_pct,1,2,2,939,350,87.859,96.571,-8.712,4/4,True
rotated_60b_pct,1,2,3,2256,350,86.082,96.571,-10.490,4/4,True
rotated_60b_pct,1,2,4+,16637,350,82.984,96.571,-13.588,4/4,True
rotated_60b_pct,5,0.25,1,4045,3161,38.739,57.007,-18.268,4/4,True
rotated_60b_pct,5,0.25,2,4683,3161,43.519,57.007,-13.488,4/4,True
rotated_60b_pct,5,0.25,3,7161,3161,40.609,57.007,-16.398,4/4,True
rotated_60b_pct,5,0.25,4+,15475,3161,39.625,57.007,-17.382,4/4,True
rotated_60b_pct,5,1,1,220,194,45.455,75.773,-30.319,4/4,True
rotated_60b_pct,5,1,2,533,194,46.341,75.773,-29.432,4/4,True
rotated_60b_pct,5,1,3,1573,194,46.281,75.773,-29.492,4/4,True
rotated_60b_pct,5,1,4+,17574,194,40.839,75.773,-34.934,4/4,True
rotated_60b_pct,5,2,1,28,22,57.143,95.455,-38.312,4/4,False
rotated_60b_pct,5,2,2,116,22,48.276,95.455,-47.179,4/4,False
rotated_60b_pct,5,2,3,309,22,57.282,95.455,-38.173,4/4,False
rotated_60b_pct,5,2,4+,13435,22,40.901,95.455,-54.554,4/4,False
