atr_timeframe,tolerance_atr,width_bin,level_kinds,events,reversion_pct,vs_single_kind_pp,years_agreeing,years_testable
1,0.25,0.4-0.7,1,3302,51.85,0.00,0/4,4
1,0.25,0.4-0.7,2,4408,53.79,1.94,2/4,4
1,0.25,0.4-0.7,3,1573,53.15,1.30,3/4,4
1,0.25,0.4-0.7,4+,298,48.99,-2.85,2/4,4
1,0.25,0.7-1.0,1,383,53.00,0.00,0/4,4
1,0.25,0.7-1.0,2,3531,53.84,0.83,2/4,4
1,0.25,0.7-1.0,3,3546,53.19,0.18,3/4,4
1,0.25,0.7-1.0,4+,1597,56.48,3.48,3/4,4
1,0.25,1.0-1.5,1,269,49.44,0.00,0/4,4
1,0.25,1.0-1.5,2,2439,54.86,5.42,3/4,4
1,0.25,1.0-1.5,3,3225,54.36,4.91,3/4,4
1,0.25,1.0-1.5,4+,2804,56.74,7.30,3/4,4
1,0.25,1.5-2.0,1,82,52.44,0.00,0/4,4
1,0.25,1.5-2.0,2,297,53.20,0.76,1/4,4
1,0.25,1.5-2.0,3,501,55.69,3.25,2/4,4
1,0.25,1.5-2.0,4+,701,55.78,3.34,4/4,4
1,1,0.4-0.7,1,549,52.64,0.00,0/4,4
1,1,0.4-0.7,2,725,54.07,1.43,2/4,4
1,1,0.4-0.7,3,251,48.61,-4.04,3/4,4
1,1,0.7-1.0,1,89,56.18,0.00,0/4,4
1,1,0.7-1.0,2,824,51.09,-5.09,4/4,4
1,1,0.7-1.0,3,789,57.29,1.11,2/4,4
1,1,0.7-1.0,4+,373,54.69,-1.49,3/4,4
1,1,1.0-1.5,1,158,54.43,0.00,0/4,4
1,1,1.0-1.5,2,1572,55.53,1.10,3/4,4
1,1,1.0-1.5,3,2926,55.84,1.41,3/4,4
1,1,1.0-1.5,4+,3369,55.48,1.05,3/4,4
1,1,1.5-2.0,1,129,51.94,0.00,0/4,4
1,1,1.5-2.0,2,1590,57.36,5.42,3/4,4
1,1,1.5-2.0,3,3269,57.57,5.63,3/4,4
1,1,1.5-2.0,4+,6360,57.55,5.61,3/4,4
1,2,0.4-0.7,1,107,55.14,0.00,0/4,4
1,2,0.4-0.7,2,86,51.16,-3.98,2/4,4
5,0.25,0.4-0.7,1,386,54.15,0.00,0/4,4
5,0.25,0.4-0.7,2,3408,58.80,4.66,4/4,4
5,0.25,0.4-0.7,3,5556,58.98,4.84,4/4,4
5,0.25,0.4-0.7,4+,5995,61.08,6.94,4/4,4
5,0.25,0.7-1.0,1,90,61.11,0.00,0/4,4
5,0.25,0.7-1.0,2,600,59.50,-1.61,2/4,4
5,0.25,0.7-1.0,3,1218,58.54,-2.57,2/4,4
5,0.25,0.7-1.0,4+,1841,61.81,0.70,2/4,4
5,1,1.0-1.5,1,55,63.64,0.00,0/4,4
5,1,1.0-1.5,2,1332,69.97,6.33,3/4,4
5,1,1.0-1.5,3,2459,65.72,2.08,2/4,4
5,1,1.0-1.5,4+,9847,68.79,5.16,3/4,4
